PeakID (cmd=annotatePeaks.pl JUND.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_346	chr10	42079620	42079798	+	0	NA	Intergenic	NA	-162814	LOC101929373								
Interval_572	chr11	92775333	92775622	+	0	NA	intron (FAT3, intron 6 of 26)	NA	-194146	MTNR1B								
Interval_2090	chr3	33911888	33912123	+	0	NA	Intergenic	NA	113434	PDCD6IP								
Interval_2557	chr5	140607025	140607219	+	0	NA	Intergenic	NA	-12552	LOC100505798								
Interval_2971	chr7	155205650	155205881	+	0	NA	Intergenic	NA	-57677	LOC102723715								
Interval_1677	chr2	77971406	77971579	+	0	NA	intron (LOC101927967, intron 1 of 3)	NA	-16466	SNAR-H								
Interval_208	chr1	183832522	183832725	+	0	NA	intron (RGL1, intron 3 of 18)	NA	-179310	APOBEC4								
Interval_3304	chr9	17795712	17796044	+	0	NA	exon (SH3GL2, exon 9 of 9)	NA	216923	SH3GL2								
Interval_3460	chrY	11312538	11312616	+	0	NA	Intergenic	NA	1109013	GYG2P1								
Interval_121	chr1	110963926	110964280	+	0	NA	promoter-TSS (LRIF1)	NA	-159	LRIF1								
Interval_2833	chr7	6450046	6450280	+	0	NA	Intergenic	NA	-2151	DAGLB								
Interval_85	chr1	82795583	82795848	+	0	NA	Intergenic	NA	189207	RP11-170N11.1								
Interval_730	chr12	96416604	96416784	+	0	NA	Intergenic	NA	-16106	CDK17								
Interval_1474	chr19	18571652	18571846	+	0	NA	promoter-TSS (UBA52)	NA	-58	UBA52								
Interval_924	chr15	38589551	38589843	+	0	NA	Intergenic	NA	-24891	RASGRP1								
Interval_1008	chr15	100721918	100722157	+	0	NA	Intergenic	NA	63192	LOC440313								
Interval_1489	chr19	33819935	33820208	+	0	NA	Intergenic	NA	23225	KCTD15								
Interval_678	chr12	46549841	46550205	+	0	NA	intron (RP11-96H19.1, intron 2 of 2)	NA	166293	RP11-96H19.1								
Interval_178	chr1	157437404	157437625	+	0	NA	Intergenic	NA	115006	FCRL5								
Interval_2847	chr7	18178392	18178663	+	0	NA	intron (HDAC9, intron 2 of 11)	NA	-51273	MIR1302-6								
Interval_241	chr1	209039293	209039669	+	0	NA	Intergenic	NA	112024	LOC100509303								
Interval_2308	chr4	40672974	40673162	+	0	NA	Intergenic	NA	-76829	NSUN7								
Interval_2092	chr3	37054510	37054757	+	0	NA	intron (LRRFIP2, intron 25 of 26)	NA	61173	MLH1								
Interval_1518	chr19	45454502	45454707	+	0	NA	intron (ERCC1, intron 1 of 8)	NA	-13392	FOSB								
Interval_3400	chrM	8391	8738	+	0	NA	TTS (TRNK)	NA	269	TRNK								
Interval_2460	chr5	49659758	49660000	+	0	NA	Intergenic	NA	781521	EMB								
Interval_2086	chr3	33115133	33115416	+	0	NA	intron (CRTAP, intron 1 of 6)	NA	1316	CRTAP								
Interval_3437	chrUn_KI270746v1	38053	38261	+	0	NA	NA	NA	NA	NA								
Interval_216	chr1	187513083	187513364	+	0	NA	Intergenic	NA	642504	PLA2G4A								
Interval_2341	chr4	74624833	74625041	+	0	NA	Intergenic	NA	169729	BTC								
Interval_2451	chr5	36657454	36657852	+	0	NA	intron (SLC1A3, intron 3 of 9)	NA	50719	SLC1A3								
Interval_3010	chr8	20122335	20122525	+	0	NA	Intergenic	NA	60776	SLC18A1								
Interval_1042	chr16	29291010	29291198	+	0	NA	Intergenic	NA	-11183	SNX29P2								
Interval_1326	chr18	47953453	47953723	+	0	NA	Intergenic	NA	-22989	SMAD2								
Interval_3365	chr9	120491272	120491613	+	0	NA	exon (CDK5RAP2, exon 13 of 37)	NA	-50279	LOC102723309								
Interval_1359	chr18	63444633	63444936	+	0	NA	Intergenic	NA	-22321	VPS4B								
Interval_1160	chr17	21287954	21288241	+	0	NA	promoter-TSS (MAP2K3)	NA	3425	MAP2K3								
Interval_3024	chr8	24272020	24272205	+	0	NA	Intergenic	NA	-21928	ADAM28								
Interval_2434	chr5	14925029	14925251	+	0	NA	Intergenic	NA	-51455	LOC102723499								
Interval_2324	chr4	53688242	53688540	+	0	NA	Intergenic	NA	-7741	RP11-317M11.1								
Interval_1886	chr20	42492418	42492719	+	0	NA	intron (PTPRT, intron 7 of 30)	NA	-192915	LOC101927159								
Interval_781	chr13	17765013	17765083	+	0	NA	Intergenic	NA	-430249	FAM230C								
Interval_2355	chr4	87844004	87844191	+	0	NA	intron (MEPE, intron 4 of 4)	NA	22686	MEPE								
Interval_2121	chr3	56980809	56981065	+	0	NA	intron (ARHGEF3, intron 2 of 12)	NA	40897	ARHGEF3-AS1								
Interval_1774	chr2	201208972	201209181	+	0	NA	TTS (CASP10)	NA	26178	CASP10								
Interval_2590	chr5	159362486	159362760	+	0	NA	exon (AC008697.1, exon 5 of 5)	NA	31105	AC008697.1								
Interval_1614	chr2	32289242	32289535	+	0	NA	intron (YIPF4, intron 1 of 5)	NA	11493	YIPF4								
Interval_2414	chr4	173252440	173252722	+	0	NA	intron (GALNT7, intron 2 of 11)	NA	-15588	MIR548T								
Interval_2256	chr3	188788775	188789167	+	0	NA	intron (LPP, intron 7 of 9)	NA	100137	MIR28								
Interval_2819	chr6	168007615	168007788	+	0	NA	intron (KIF25, intron 4 of 12)	NA	-10172	KIF25								
Interval_3316	chr9	27573742	27573993	+	0	NA	promoter-TSS (C9orf72)	NA	-384	C9orf72								
Interval_2691	chr6	36283749	36283922	+	0	NA	intron (PNPLA1, intron 1 of 7)	NA	13375	PNPLA1								
Interval_3413	chrUn_GL000214v1	64973	65241	+	0	NA	intron (LOC100289026, intron 3 of 5)	NA	6646	LOC100289026								
Interval_173	chr1	156127176	156127468	+	0	NA	intron (LMNA, intron 2 of 10)	NA	1205	LMNA								
Interval_2738	chr6	100202736	100202964	+	0	NA	Intergenic	NA	-191434	LOC102724406								
Interval_2760	chr6	119147409	119147727	+	0	NA	intron (FAM184A, intron 1 of 16)	NA	1625	FAM184A								
Interval_604	chr11	118482304	118482616	+	0	NA	exon (KMT2A, exon 8 of 36)	NA	44368	LOC101929115								
Interval_2710	chr6	46217751	46217935	+	0	NA	Intergenic	NA	-46870	ENPP5								
Interval_1728	chr2	150472538	150472793	+	0	NA	intron (RND3, intron 4 of 5)	NA	15030	RND3								
Interval_2146	chr3	81760893	81761320	+	0	NA	intron (GBE1, intron 1 of 15)	NA	693	GBE1								
Interval_3372	chr9	127519342	127519584	+	0	NA	intron (FAM129B, intron 5 of 13)	NA	49654	FAM129B								
Interval_2509	chr5	97534236	97534539	+	0	NA	intron (LOC102546227, intron 2 of 3)	NA	29691	LOC102546227								
Interval_1450	chr19	11155886	11156059	+	0	NA	promoter-TSS (SPC24)	NA	-85	SPC24								
Interval_2966	chr7	143239837	143240036	+	0	NA	Intergenic	NA	17857	TAS2R40								
Interval_1106	chr16	68237688	68237959	+	0	NA	Intergenic	NA	-2061	ESRP2								
Interval_2517	chr5	102531603	102531827	+	0	NA	Intergenic	NA	-32699	SLCO6A1								
Interval_1063	chr16	34585545	34585752	+	0	NA	Intergenic	NA	153656	LOC102724523								
Interval_3112	chr8	65176671	65176870	+	0	NA	intron (LINC00251, intron 1 of 3)	NA	3570	LINC00251								
Interval_1070	chr16	46382982	46383058	+	0	NA	Intergenic	NA	186077	ANKRD26P1								
Interval_253	chr1	214445982	214446294	+	0	NA	intron (PTPN14, intron 3 of 19)	NA	105464	PTPN14								
Interval_3158	chr8	92511351	92511622	+	0	NA	Intergenic	NA	144055	LOC102724710								
Interval_3288	chr8	143545574	143545968	+	0	NA	intron (ZC3H3, intron 2 of 15)	NA	7719	ZC3H3								
Interval_1548	chr19	51127821	51128156	+	0	NA	exon (SIGLEC9, exon 5 of 7)	NA	3108	SIGLEC9								
Interval_2127	chr3	58334913	58335086	+	0	NA	intron (PXK, intron 1 of 14)	NA	2109	PXK								
Interval_1154	chr17	15673845	15674018	+	0	NA	intron (TRIM16, intron 3 of 8)	NA	8948	TRIM16								
Interval_626	chr12	2294785	2295032	+	0	NA	intron (CACNA1C, intron 3 of 46)	NA	25132	CACNA1C-IT3								
Interval_1978	chr21	45364163	45364345	+	0	NA	Intergenic	NA	-22264	LINC00316								
Interval_2486	chr5	78222035	78222242	+	0	NA	intron (AP3B1, intron 6 of 26)	NA	72617	AP3B1								
Interval_2088	chr3	33664101	33664522	+	0	NA	intron (CLASP2, intron 6 of 39)	NA	53902	CLASP2								
Interval_3228	chr8	124751923	124752235	+	0	NA	Intergenic	NA	-23606	MTSS1								
Interval_1743	chr2	159562282	159562535	+	0	NA	intron (BAZ2B, intron 1 of 36)	NA	-45432	BAZ2B								
Interval_763	chr12	121888486	121888800	+	0	NA	promoter-TSS (PSMD9)	NA	-88	PSMD9								
Interval_1768	chr2	196987911	196988222	+	0	NA	exon (ANKRD44, exon 28 of 28)	NA	-61071	PGAP1								
Interval_1390	chr18	77080829	77081002	+	0	NA	intron (MBP, intron 1 of 5)	NA	51903	MBP								
Interval_2077	chr3	27521536	27521787	+	0	NA	Intergenic	NA	-37241	SLC4A7								
Interval_1157	chr17	15959098	15959505	+	0	NA	intron (ADORA2B, intron 1 of 1)	NA	14384	ADORA2B								
Interval_6	chr1	7108326	7108647	+	0	NA	intron (CAMTA1, intron 4 of 22)	NA	-56715	LOC100129476								
Interval_2716	chr6	54198349	54198526	+	0	NA	intron (MLIP, intron 8 of 11)	NA	-109968	TINAG								
Interval_1861	chr20	23361859	23362118	+	0	NA	promoter-TSS (GZF1)	NA	-144	GZF1								
Interval_1927	chr21	10452302	10452383	+	0	NA	intron (BAGE2, intron 2 of 9)	NA	38810	BAGE2								
Interval_1217	chr17	47492700	47492772	+	0	NA	promoter-TSS (MRPL45P2)	NA	-116	MRPL45P2								
Interval_266	chr1	223831984	223832187	+	0	NA	intron (TP53BP2, intron 1 of 18)	NA	13167	TP53BP2								
Interval_1462	chr19	14510818	14511152	+	0	NA	Intergenic	NA	7404	DNAJB1								
Interval_2283	chr4	12118750	12118992	+	0	NA	Intergenic	NA	-104611	RP11-168E17.1								
Interval_2781	chr6	139379053	139379296	+	0	NA	Intergenic	NA	-4961	CITED2								
Interval_1831	chr20	2832104	2832295	+	0	NA	Intergenic	NA	8436	PCED1A								
Interval_1676	chr2	76491493	76491788	+	0	NA	Intergenic	NA	-494325	AC079117.1								
Interval_1599	chr2	14303510	14303683	+	0	NA	intron (LINC00276, intron 2 of 3)	NA	97362	LINC00276								
Interval_853	chr14	61662724	61662919	+	0	NA	Intergenic	NA	-32580	HIF1A								
Interval_2611	chr5	181184260	181184445	+	0	NA	Intergenic	NA	-3349	TRNAL32								
Interval_2565	chr5	142726077	142726420	+	0	NA	intron (LOC101926975, intron 2 of 5)	NA	10043	LOC101926975								
Interval_1354	chr18	62711212	62711435	+	0	NA	Intergenic	NA	-4116	PHLPP1								
Interval_326	chr10	25753699	25754119	+	0	NA	Intergenic	NA	102197	LINC00836								
Interval_2301	chr4	33411343	33411519	+	0	NA	Intergenic	NA	568855	RP11-79E3.3								
Interval_2004	chr22	34080565	34080804	+	0	NA	Intergenic	NA	-160256	LARGE								
Interval_2094	chr3	38891022	38891195	+	0	NA	intron (SCN11A, intron 15 of 25)	NA	62543	SCN11A								
Interval_1322	chr18	44733543	44733716	+	0	NA	intron (SETBP1, intron 2 of 5)	NA	53451	SETBP1								
Interval_2774	chr6	134530109	134530282	+	0	NA	intron (RP11-557H15.4, intron 2 of 2)	NA	-5679	LOC101928249								
Interval_2202	chr3	138774533	138774747	+	0	NA	intron (PIK3CB, intron 1 of 22)	NA	-4523	PIK3CB								
Interval_2836	chr7	12715645	12715818	+	0	NA	Intergenic	NA	28445	ARL4A								
Interval_780	chr13	17751926	17752204	+	0	NA	Intergenic	NA	-443232	FAM230C								
Interval_3085	chr8	53944954	53945276	+	0	NA	intron (RGS20, intron 3 of 5)	NA	77341	TCEA1								
Interval_3264	chr8	132331823	132332032	+	0	NA	intron (KCNQ3, intron 1 of 14)	NA	-147647	KCNQ3								
Interval_933	chr15	44288338	44288417	+	0	NA	promoter-TSS (CASC4)	NA	-239	CASC4								
Interval_535	chr11	64778887	64779008	+	0	NA	promoter-TSS (SF1)	NA	-1187	SF1								
Interval_793	chr13	28468029	28468546	+	0	NA	intron (FLT1, intron 1 of 12)	NA	26841	FLT1								
Interval_2555	chr5	140564433	140564743	+	0	NA	promoter-TSS (MIR6831)	NA	16	APBB3								
Interval_1641	chr2	54904149	54904424	+	0	NA	intron (EML6, intron 20 of 36)	NA	2337	EML6								
Interval_466	chr11	7155178	7155420	+	0	NA	Intergenic	NA	66365	RBMXL2								
Interval_2766	chr6	129606676	129606938	+	0	NA	intron (ARHGAP18, intron 9 of 13)	NA	-48470	LOC102723409								
Interval_3044	chr8	33865257	33865430	+	0	NA	Intergenic	NA	-267551	DUSP26								
Interval_3185	chr8	104867961	104868221	+	0	NA	Intergenic	NA	-279067	LRP12								
Interval_1241	chr17	64694319	64694495	+	0	NA	Intergenic	NA	-32527	SMURF2								
Interval_1695	chr2	102227787	102228039	+	0	NA	intron (IL1RL2, intron 7 of 8)	NA	40838	IL1RL2								
Interval_2011	chr22	35602282	35602558	+	0	NA	Intergenic	NA	20165	MB								
Interval_3321	chr9	33290244	33290492	+	0	NA	promoter-TSS (NFX1)	NA	-52	NFX1								
Interval_2051	chr3	12326016	12326274	+	0	NA	intron (PPARG, intron 2 of 7)	NA	38295	PPARG								
Interval_30	chr1	26432049	26432299	+	0	NA	promoter-TSS (DHDDS)	NA	-192	DHDDS								
Interval_2868	chr7	39589874	39589946	+	0	NA	intron (YAE1D1, intron 2 of 2)	NA	23534	YAE1D1								
Interval_1068	chr16	34591966	34592192	+	0	NA	Intergenic	NA	160087	LOC102724523								
Interval_2499	chr5	88722096	88723126	+	0	NA	exon (MEF2C, exon 10 of 10)	NA	-49283	LINC00461								
Interval_490	chr11	21888998	21889182	+	0	NA	Intergenic	NA	-190579	LOC102723370								
Interval_1835	chr20	4686191	4686369	+	0	NA	promoter-TSS (PRNP)	NA	129	PRNP								
Interval_3077	chr8	49870102	49870416	+	0	NA	Intergenic	NA	-39314	LOC102724295								
Interval_1896	chr20	47124819	47125021	+	0	NA	intron (EYA2, intron 9 of 15)	NA	-42047	MIR3616								
Interval_1045	chr16	30491972	30492202	+	0	NA	intron (ITGAL, intron 9 of 28)	NA	-11881	MIR4518								
Interval_2994	chr8	10711235	10711458	+	0	NA	Intergenic	NA	-17676	LOC102723313								
Interval_56	chr1	43774541	43774714	+	0	NA	intron (ST3GAL3, intron 2 of 11)	NA	38394	ST3GAL3								
Interval_2114	chr3	52278638	52278811	+	0	NA	promoter-TSS (WDR82)	NA	-81	WDR82								
Interval_2720	chr6	63211440	63211911	+	0	NA	Intergenic	NA	108302	LGSN								
Interval_300	chr1	240313017	240313194	+	0	NA	intron (FMN2, intron 8 of 17)	NA	218604	GREM2								
Interval_1392	chr18	77101605	77101872	+	0	NA	intron (MBP, intron 1 of 5)	NA	31080	MBP								
Interval_1125	chr16	87895654	87895956	+	0	NA	intron (CA5A, intron 5 of 6)	NA	-26311	SLC7A5								
Interval_2173	chr3	119323018	119323267	+	0	NA	intron (ARHGAP31, intron 1 of 11)	NA	28769	ARHGAP31								
Interval_2634	chr6	11207193	11207513	+	0	NA	intron (NEDD9, intron 2 of 2)	NA	44660	LOC102724361								
Interval_3053	chr8	37610160	37610353	+	0	NA	Intergenic	NA	-10417	LOC101929604								
Interval_1686	chr2	90400990	90401295	+	0	NA	Intergenic	NA	41639	LOC101060017								
Interval_1496	chr19	38651529	38651734	+	0	NA	intron (ACTN4, intron 1 of 20)	NA	4004	ACTN4								
Interval_2569	chr5	143002534	143003102	+	0	NA	intron (ARHGAP26, intron 11 of 22)	NA	-133908	ARHGAP26-AS1								
Interval_2297	chr4	27791740	27791992	+	0	NA	Intergenic	NA	574387	RP11-415C15.2								
Interval_1753	chr2	173048834	173049331	+	0	NA	intron (RAPGEF4, intron 30 of 30)	NA	28300	LOC102724157								
Interval_2138	chr3	71982694	71982950	+	0	NA	Intergenic	NA	117633	LINC00877								
Interval_3187	chr8	106556652	106556927	+	0	NA	intron (OXR1, intron 2 of 16)	NA	108865	OXR1								
Interval_1511	chr19	43701382	43701625	+	0	NA	Intergenic	NA	-14562	IRGC								
Interval_1587	chr2	9552591	9552880	+	0	NA	intron (ADAM17, intron 1 of 18)	NA	3053	ADAM17								
Interval_236	chr1	204507085	204507356	+	0	NA	promoter-TSS (TRNAK34)	NA	-118	TRNAK34								
Interval_285	chr1	234684326	234684537	+	0	NA	Intergenic	NA	38142	RP4-781K5.4								
Interval_1066	chr16	34590798	34591023	+	0	NA	Intergenic	NA	158918	LOC102724523								
Interval_1622	chr2	38572275	38572448	+	0	NA	intron (HNRNPLL, intron 9 of 13)	NA	30675	HNRNPLL								
Interval_921	chr15	34047575	34047780	+	0	NA	intron (CHRM5, intron 2 of 2)	NA	-8575	AVEN								
Interval_3018	chr8	22715705	22715990	+	0	NA	intron (PEBP4, intron 6 of 6)	NA	-22545	EGR3								
Interval_1073	chr16	46388564	46389085	+	0	NA	Intergenic	NA	180273	ANKRD26P1								
Interval_2883	chr7	48298878	48299087	+	0	NA	intron (ABCA13, intron 23 of 61)	NA	127522	ABCA13								
Interval_2100	chr3	42590681	42590873	+	0	NA	promoter-TSS (SEC22C)	NA	-29	SS18L2								
Interval_942	chr15	51228564	51228761	+	0	NA	promoter-TSS (CYP19A1)	NA	-13571	MIR4713								
Interval_3168	chr8	96854591	96854931	+	0	NA	intron (CPQ, intron 4 of 8)	NA	209534	CPQ								
Interval_225	chr1	198681879	198682052	+	0	NA	intron (PTPRC, intron 2 of 31)	NA	42940	PTPRC								
Interval_3315	chr9	25830173	25830440	+	0	NA	Intergenic	NA	50250	RP11-33G16.1								
Interval_76	chr1	66336189	66336362	+	0	NA	intron (PDE4B, intron 2 of 10)	NA	-197681	SGIP1								
Interval_2614	chr6	1287390	1287653	+	0	NA	Intergenic	NA	-24919	FOXQ1								
Interval_1399	chr19	555960	556271	+	0	NA	Intergenic	NA	12081	GZMM								
Interval_299	chr1	239909923	239910172	+	0	NA	TTS (CHRM3)	NA	-10175	CHRM3-AS1								
Interval_1424	chr19	6087931	6088137	+	0	NA	intron (RFX2, intron 1 of 16)	NA	20081	LOC101928872								
Interval_1350	chr18	59904864	59905121	+	0	NA	TTS (PMAIP1)	NA	5032	PMAIP1								
Interval_1249	chr17	69757943	69758116	+	0	NA	intron (AC003051.1, intron 3 of 5)	NA	164042	AC003051.1								
Interval_2857	chr7	30185017	30185348	+	0	NA	Intergenic	NA	50189	MTURN								
Interval_3071	chr8	43238668	43238737	+	0	NA	Intergenic	NA	-53740	POTEA								
Interval_1191	chr17	35254461	35254657	+	0	NA	intron (SLFN5, intron 1 of 4)	NA	11492	SLFN5								
Interval_2325	chr4	55866370	55866673	+	0	NA	intron (EXOC1, intron 4 of 17)	NA	12871	EXOC1								
Interval_2382	chr4	121783233	121783430	+	0	NA	Intergenic	NA	-17970	TMEM155								
Interval_1738	chr2	158142340	158143171	+	0	NA	Intergenic	NA	-23895	CCDC148-AS1								
Interval_487	chr11	18396059	18396397	+	0	NA	promoter-TSS (LDHA)	NA	1839	LDHA								
Interval_1881	chr20	38425992	38426253	+	0	NA	promoter-TSS (SNORA71B)	NA	-792	SNORA71B								
Interval_3208	chr8	118196020	118196213	+	0	NA	exon (SAMD12, exon 5 of 5)	NA	-84297	EXT1								
Interval_2560	chr5	140791220	140791393	+	0	NA	intron (PCDHA1, intron 1 of 3)	NA	-3553	PCDHA2								
Interval_2020	chr22	39502219	39502407	+	0	NA	promoter-TSS (MIEF1)	NA	34	MIEF1								
Interval_3356	chr9	111109128	111109437	+	0	NA	Intergenic	NA	-71197	LPAR1								
Interval_1478	chr19	20944368	20944541	+	0	NA	TTS (ZNF85)	NA	21201	ZNF85								
Interval_1856	chr20	20466628	20466815	+	0	NA	intron (RALGAPA2, intron 37 of 39)	NA	98600	INSM1								
Interval_2242	chr3	177251581	177252056	+	0	NA	Intergenic	NA	-42624	LINC00501								
Interval_1597	chr2	12588099	12588442	+	0	NA	Intergenic	NA	-128602	TRIB2								
Interval_3332	chr9	72443430	72443612	+	0	NA	Intergenic	NA	-77113	LOC102724516								
Interval_1408	chr19	2151580	2151816	+	0	NA	promoter-TSS (AP3D1)	NA	-78	AP3D1								
Interval_183	chr1	159068977	159069233	+	0	NA	intron (AIM2, intron 1 of 4)	NA	4369	LOC102724240								
Interval_1306	chr18	22580227	22580519	+	0	NA	Intergenic	NA	-162458	CTAGE1								
Interval_894	chr14	92785808	92786010	+	0	NA	Intergenic	NA	-8322	GOLGA5								
Interval_1531	chr19	48399736	48399917	+	0	NA	intron (GRIN2D, intron 2 of 12)	NA	-2211	LOC102724003								
Interval_1397	chr18	80034075	80034469	+	0	NA	promoter-TSS (RBFA)	NA	-74	RBFA								
Interval_1956	chr21	33079095	33079282	+	0	NA	Intergenic	NA	7925	LOC102723612								
Interval_902	chr14	101731266	101731540	+	0	NA	exon (LINC00239, exon 2 of 4)	NA	966	LINC00239								
Interval_557	chr11	74024741	74024947	+	0	NA	intron (C2CD3, intron 32 of 32)	NA	-15607	UCP3								
Interval_1080	chr16	46399022	46399585	+	0	NA	Intergenic	NA	169794	ANKRD26P1								
Interval_2718	chr6	56101173	56101479	+	0	NA	intron (COL21A1, intron 17 of 17)	NA	146420	COL21A1								
Interval_135	chr1	119987107	119987311	+	0	NA	intron (NOTCH2, intron 4 of 33)	NA	82494	NOTCH2								
Interval_2987	chr8	5519400	5519646	+	0	NA	Intergenic	NA	-524717	CSMD1								
Interval_1383	chr18	76499932	76500259	+	0	NA	Intergenic	NA	4574	FLJ44313								
Interval_3197	chr8	114828926	114829162	+	0	NA	Intergenic	NA	838968	TRPS1								
Interval_2610	chr5	179623689	179623946	+	0	NA	promoter-TSS (HNRNPH1)	NA	-107	HNRNPH1								
Interval_2115	chr3	52498294	52498566	+	0	NA	intron (STAB1, intron 1 of 48)	NA	3090	STAB1								
Interval_2998	chr8	13694604	13694777	+	0	NA	Intergenic	NA	127847	C8orf48								
Interval_377	chr10	72320730	72321031	+	0	NA	Intergenic	NA	34120	DNAJB12								
Interval_42	chr1	32989349	32989599	+	0	NA	Intergenic	NA	-24609	RNF19B								
Interval_478	chr11	12159512	12159767	+	0	NA	intron (MICAL2, intron 2 of 27)	NA	-4053	MIR6124								
Interval_1420	chr19	4870187	4870495	+	0	NA	Intergenic	NA	-2573	PLIN3								
Interval_190	chr1	166490282	166490513	+	0	NA	Intergenic	NA	-113519	FMO9P								
Interval_1646	chr2	59236668	59236941	+	0	NA	intron (AC007131.1, intron 1 of 2)	NA	19096	AC007131.1								
Interval_3291	chr8	144767339	144767820	+	0	NA	exon (LOC102723988, exon 3 of 3)	NA	1408	LOC102723988								
Interval_859	chr14	65879390	65879634	+	0	NA	Intergenic	NA	217391	LOC101927878								
Interval_2327	chr4	58602036	58602418	+	0	NA	Intergenic	NA	1111372	LOC102724598								
Interval_2455	chr5	40486512	40487172	+	0	NA	Intergenic	NA	-194109	PTGER4								
Interval_1455	chr19	11568276	11568529	+	0	NA	intron (LOC101928434, intron 4 of 4)	NA	9007	LOC101928434								
Interval_2693	chr6	37189802	37189989	+	0	NA	Intergenic	NA	19749	PIM1								
Interval_1986	chr22	18733688	18733861	+	0	NA	intron (LOC642643, intron 2 of 8)	NA	5641	LOC642643								
Interval_3211	chr8	119601514	119601809	+	0	NA	intron (ENPP2, intron 9 of 25)	NA	37205	ENPP2								
Interval_319	chr10	22737697	22737871	+	0	NA	Intergenic	NA	-23210	PIP4K2A								
Interval_257	chr1	219588038	219588211	+	0	NA	Intergenic	NA	-150934	LOC101929689								
Interval_1719	chr2	142226806	142227054	+	0	NA	Intergenic	NA	-95229	LRP1B								
Interval_515	chr11	58573431	58573758	+	0	NA	intron (LPXN, intron 1 of 8)	NA	4645	LPXN								
Interval_350	chr10	45404274	45404447	+	0	NA	intron (ALOX5, intron 3 of 13)	NA	30184	ALOX5								
Interval_2771	chr6	134373078	134373312	+	0	NA	Intergenic	NA	-25512	LOC102723463								
Interval_2649	chr6	15066731	15067027	+	0	NA	Intergenic	NA	181817	JARID2-AS1								
Interval_422	chr10	104351210	104351612	+	0	NA	exon (CCDC147-AS1, exon 2 of 2)	NA	2164	CCDC147-AS1								
Interval_612	chr11	123083694	123083867	+	0	NA	exon (CLMP, exon 4 of 7)	NA	21427	LOC101929289								
Interval_2529	chr5	115626124	115626354	+	0	NA	promoter-TSS (TMED7-TICAM2)	NA	-60	TMED7								
Interval_1056	chr16	34571707	34571967	+	0	NA	Intergenic	NA	139845	LOC102724523								
Interval_2446	chr5	32313029	32313245	+	0	NA	promoter-TSS (MTMR12)	NA	-129	MTMR12								
Interval_103	chr1	97850039	97850341	+	0	NA	intron (DPYD, intron 2 of 5)	NA	36801	LOC102723700								
Interval_323	chr10	23412256	23412568	+	0	NA	Intergenic	NA	19007	MIR1254-2								
Interval_2943	chr7	114554834	114555067	+	0	NA	intron (FOXP2, intron 4 of 17)	NA	-98423	MIR3666								
Interval_3430	chrUn_KI270438v1	110494	110568	+	0	NA	NA	NA	NA	NA								
Interval_2702	chr6	44012104	44012450	+	0	NA	Intergenic	NA	-9544	RP5-1120P11.1								
Interval_586	chr11	108497635	108497969	+	0	NA	intron (KDELC2, intron 1 of 7)	NA	630	KDELC2								
Interval_1007	chr15	100001317	100001576	+	0	NA	intron (ADAMTS17, intron 18 of 21)	NA	40127	LOC102724973								
Interval_3441	chrX	1222998	1223251	+	0	NA	Intergenic	NA	-10488	CRLF2								
Interval_433	chr10	113087439	113087616	+	0	NA	intron (TCF7L2, intron 4 of 12)	NA	137277	TCF7L2								
Interval_2272	chr3	198071993	198072187	+	0	NA	intron (ANKRD18DP, intron 4 of 9)	NA	8581	ANKRD18DP								
Interval_100	chr1	96309809	96310217	+	0	NA	intron (RP5-898J17.1, intron 3 of 5)	NA	64112	RP5-898J17.1								
Interval_1874	chr20	34390946	34391128	+	0	NA	intron (ITCH, intron 2 of 23)	NA	27764	ITCH								
Interval_3385	chr9	133121640	133121813	+	0	NA	promoter-TSS (RALGDS)	NA	9431	RALGDS								
Interval_3162	chr8	95802002	95802182	+	0	NA	intron (LOC100616530, intron 5 of 5)	NA	146256	LOC100500773								
Interval_753	chr12	117724673	117724949	+	0	NA	intron (KSR2, intron 4 of 19)	NA	243412	KSR2								
Interval_3409	chrM	13920	15238	+	0	NA	TTS (TRNE)	NA	163	TRNE								
Interval_3439	chrUn_KI270751v1	145569	145758	+	0	NA	Intergenic	NA	113331	LOC102723799								
Interval_589	chr11	112157435	112157623	+	0	NA	intron (IL18, intron 1 of 5)	NA	6588	IL18								
Interval_396	chr10	88064702	88065043	+	0	NA	Intergenic	NA	201174	PTEN								
Interval_874	chr14	76721145	76721346	+	0	NA	Intergenic	NA	-40647	VASH1								
Interval_1581	chr2	8090935	8091378	+	0	NA	intron (LINC00299, intron 7 of 8)	NA	-114342	LINC00298								
Interval_1941	chr21	24223731	24223922	+	0	NA	Intergenic	NA	97551	AP000469.2								
Interval_3279	chr8	141010324	141010640	+	0	NA	Intergenic	NA	-89350	PTK2								
Interval_2047	chr3	11289113	11289326	+	0	NA	intron (ATG7, intron 2 of 19)	NA	16817	ATG7								
Interval_638	chr12	10167645	10168052	+	0	NA	intron (OLR1, intron 2 of 4)	NA	4343	OLR1								
Interval_3301	chr9	5851585	5851862	+	0	NA	Intergenic	NA	-18642	ERMP1								
