PeakID (cmd=annotatePeaks.pl GSE1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_745	chr8	55884256	55884332	+	0	NA	intron (LYN, intron 1 of 12)	NA	4467	LYN								
Interval_218	chr12	113215050	113215175	+	0	NA	intron (IQCD, intron 1 of 4)	NA	6161	IQCD								
Interval_437	chr2	85704788	85704917	+	0	NA	Intergenic	NA	10561	GNLY								
Interval_140	chr10	50458542	50458769	+	0	NA	intron (SGMS1, intron 5 of 10)	NA	165322	SGMS1								
Interval_159	chr11	45383286	45383391	+	0	NA	intron (FLJ41423, intron 3 of 4)	NA	11935	FLJ41423								
Interval_7	chr1	25730903	25731116	+	0	NA	intron (MAN1C1, intron 1 of 9)	NA	-69167	SEPN1								
Interval_539	chr3	186986100	186986176	+	0	NA	exon (LOC101929079, exon 3 of 3)	NA	6022	LOC101929079								
Interval_496	chr21	44010461	44010530	+	0	NA	Intergenic	NA	-52073	TRAPPC10								
Interval_540	chr3	188796148	188796303	+	0	NA	intron (LPP, intron 9 of 11)	NA	107444	MIR28								
Interval_361	chr17	50332238	50332340	+	0	NA	Intergenic	NA	-13743	XYLT2								
Interval_477	chr20	15776812	15776973	+	0	NA	intron (MACROD2, intron 8 of 17)	NA	796529	KIF16B								
Interval_291	chr16	19495054	19495130	+	0	NA	intron (TMC5, intron 20 of 21)	NA	27021	GDE1								
Interval_270	chr14	99420905	99421024	+	0	NA	intron (SETD3, intron 6 of 12)	NA	59927	SETD3								
Interval_86	chr1	143263409	143263587	+	0	NA	Intergenic	NA	42861	LOC101929814								
Interval_573	chr4	49709950	49710139	+	0	NA	Intergenic	NA	-220720	LOC101060532								
Interval_431	chr2	47071491	47071693	+	0	NA	intron (TTC7A, intron 18 of 18)	NA	83786	C2orf61								
Interval_269	chr14	96987256	96987332	+	0	NA	Intergenic	NA	43715	LINC00618								
Interval_385	chr18	18867184	18867316	+	0	NA	Intergenic	NA	2244601	ROCK1								
Interval_425	chr2	7773577	7773685	+	0	NA	Intergenic	NA	47901	LOC101929531								
Interval_69	chr1	143192101	143192261	+	0	NA	Intergenic	NA	114178	LOC101929814								
Interval_386	chr18	20018392	20018480	+	0	NA	Intergenic	NA	1093415	ROCK1								
Interval_487	chr21	8228689	8228779	+	0	NA	Intergenic	NA	14339	LOC102723570								
Interval_239	chr13	30651761	30651953	+	0	NA	intron (USPL1, intron 7 of 8)	NA	22180	TRNAN7								
Interval_97	chr1	156097131	156097277	+	0	NA	intron (LMNA, intron 3 of 12)	NA	-15206	MEX3A								
Interval_134	chr10	41889515	41889595	+	0	NA	Intergenic	NA	-352968	LOC101929373								
Interval_587	chr4	110362126	110362202	+	0	NA	Intergenic	NA	-113909	ENPEP								
