PeakID (cmd=annotatePeaks.pl IRF2BP2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_4274	chr18	63588963	63589171	+	0	NA	intron (SERPINB13, intron 2 of 8)	NA	1724	SERPINB13								
Interval_9599	chr9	129946640	129946814	+	0	NA	intron (FNBP1, intron 6 of 15)	NA	77122	MIR6855								
Interval_8547	chr7	108135888	108136045	+	0	NA	Intergenic	NA	-5611	LAMB4								
Interval_6132	chr21	37251084	37251225	+	0	NA	intron (DSCR3, intron 1 of 6)	NA	16970	DSCR3								
Interval_1488	chr11	14520327	14520566	+	0	NA	promoter-TSS (PSMA1)	NA	-1	PSMA1								
Interval_3565	chr17	7436993	7437214	+	0	NA	exon (TMEM102, exon 2 of 2)	NA	1627	TMEM102								
Interval_2904	chr15	65832999	65833159	+	0	NA	Intergenic	NA	36054	TRNAQ24								
Interval_6420	chr3	9749805	9750135	+	0	NA	promoter-TSS (OGG1)	NA	22	OGG1								
Interval_349	chr1	46580893	46581194	+	0	NA	intron (MKNK1, intron 3 of 13)	NA	-3383	LOC101929673								
Interval_6873	chr3	185824496	185825323	+	0	NA	exon (IGF2BP2, exon 1 of 15)	NA	-57005	MIR548AQ								
Interval_6034	chr20	62794077	62794242	+	0	NA	Intergenic	NA	-2293	MRGBP								
Interval_7737	chr6	2989779	2989979	+	0	NA	exon (LINC01011, exon 3 of 3)	NA	1912	LINC01011								
Interval_2218	chr12	111407078	111407303	+	0	NA	intron (SH2B3, intron 1 of 8)	NA	-37698	SH2B3								
Interval_2505	chr14	31208033	31208216	+	0	NA	promoter-TSS (HECTD1)	NA	-64	HECTD1								
Interval_1035	chr10	22816998	22817261	+	0	NA	Intergenic	NA	-102555	PIP4K2A								
Interval_2359	chr13	20704016	20704208	+	0	NA	exon (IL17D, exon 2 of 3)	NA	2029	IL17D								
Interval_6047	chr20	63815258	63816142	+	0	NA	intron (LOC101928604, intron 1 of 2)	NA	7624	LOC101928604								
Interval_4005	chr17	77235426	77235644	+	0	NA	Intergenic	NA	146107	MIR6516								
Interval_6353	chr22	43381711	43381978	+	0	NA	Intergenic	NA	-30170	MPPED1								
Interval_813	chr1	202353471	202353602	+	0	NA	intron (PPP1R12B, intron 1 of 9)	NA	4834	PPP1R12B								
Interval_8859	chr8	42541997	42542138	+	0	NA	promoter-TSS (SLC20A2)	NA	271	SMIM19								
Interval_5620	chr2	209690930	209691099	+	0	NA	intron (MAP2, intron 8 of 17)	NA	-80979	UNC80								
Interval_3003	chr15	79004285	79004576	+	0	NA	intron (RASGRF1, intron 14 of 24)	NA	-59336	CTSH								
Interval_7260	chr4	176534703	176534859	+	0	NA	Intergenic	NA	214842	SPCS3								
Interval_3376	chr16	68237525	68238002	+	0	NA	Intergenic	NA	-1588	ESRP2								
Interval_9290	chr9	2749596	2749832	+	0	NA	Intergenic	NA	32188	KCNV2								
Interval_7347	chr5	40410374	40410640	+	0	NA	Intergenic	NA	-270444	PTGER4								
Interval_3550	chr17	5232997	5233195	+	0	NA	intron (RP11-333E1.1, intron 5 of 7)	NA	1764	SCIMP								
Interval_3203	chr16	21626731	21626881	+	0	NA	intron (METTL9, intron 4 of 4)	NA	25860	IGSF6								
Interval_7538	chr5	135398669	135399121	+	0	NA	intron (H2AFY, intron 1 of 8)	NA	721	H2AFY								
Interval_1386	chr10	132588503	132588851	+	0	NA	intron (INPP5A, intron 1 of 15)	NA	50828	INPP5A								
Interval_5082	chr2	8090875	8091312	+	0	NA	intron (LINC00299, intron 7 of 8)	NA	-114279	LINC00298								
Interval_4637	chr19	15702640	15702919	+	0	NA	Intergenic	NA	-25245	OR10H2								
Interval_389	chr1	65207395	65207589	+	0	NA	intron (AK4, intron 3 of 5)	NA	-57202	DNAJC6								
Interval_9393	chr9	60594694	60594923	+	0	NA	Intergenic	NA	-319599	SPATA31A5								
Interval_4043	chr17	79993655	79994057	+	0	NA	intron (TBC1D16, intron 3 of 10)	NA	-42999	TBC1D16								
Interval_1817	chr11	109023175	109023398	+	0	NA	Intergenic	NA	-99350	LOC101928586								
Interval_4432	chr19	3142054	3142221	+	0	NA	exon (AC005264.2, exon 4 of 4)	NA	5944	GNA15								
Interval_4261	chr18	59918496	59918820	+	0	NA	Intergenic	NA	18698	PMAIP1								
Interval_3407	chr16	79329280	79329421	+	0	NA	Intergenic	NA	271375	MAF								
Interval_2216	chr12	111399427	111399677	+	0	NA	Intergenic	NA	-30830	FAM109A								
Interval_2347	chr13	16726416	16726572	+	0	NA	Intergenic	NA	-1468803	FAM230C								
Interval_158	chr1	24344998	24345192	+	0	NA	intron (GRHL3, intron 12 of 15)	NA	22055	GRHL3								
Interval_6925	chr3	196969512	196969775	+	0	NA	promoter-TSS (PIGZ)	NA	-772	PIGZ								
Interval_1582	chr11	60186578	60186893	+	0	NA	Intergenic	NA	-2992	MS4A6A								
Interval_3948	chr17	71071831	71072154	+	0	NA	Intergenic	NA	130187	CASC17								
Interval_5846	chr20	23156108	23156462	+	0	NA	Intergenic	NA	-23649	LINC00656								
Interval_5239	chr2	47176670	47176860	+	0	NA	promoter-TSS (CALM2)	NA	-164	CALM2								
Interval_4257	chr18	59899737	59899973	+	0	NA	promoter-TSS (PMAIP1)	NA	-105	PMAIP1								
Interval_6142	chr21	38277474	38277792	+	0	NA	intron (KCNJ15, intron 1 of 2)	NA	-18897	KCNJ15								
Interval_1881	chr11	131408175	131408388	+	0	NA	intron (NTM, intron 1 of 7)	NA	37803	NTM								
Interval_176	chr1	25906366	25906515	+	0	NA	promoter-TSS (MIR3917)	NA	-37	MIR3917								
Interval_166	chr1	24964964	24965120	+	0	NA	promoter-TSS (RUNX3)	NA	-34770	RUNX3								
Interval_467	chr1	109090608	109090825	+	0	NA	promoter-TSS (TMEM167B)	NA	-65	TMEM167B								
Interval_3849	chr17	57084947	57085270	+	0	NA	promoter-TSS (AKAP1)	NA	-75	LOC101927471								
Interval_1491	chr11	15636749	15637039	+	0	NA	intron (LOC102724957, intron 1 of 2)	NA	12737	LOC102724957								
Interval_4360	chr19	1102488	1102685	+	0	NA	Intergenic	NA	-1351	GPX4								
Interval_5227	chr2	44753704	44753870	+	0	NA	intron (CAMKMT, intron 8 of 10)	NA	168674	LOC100130502								
Interval_3828	chr17	50151982	50152273	+	0	NA	Intergenic	NA	-1611	PPP1R9B								
Interval_3276	chr16	34582131	34582495	+	0	NA	Intergenic	NA	150321	LOC102724523								
Interval_8468	chr7	77351668	77351825	+	0	NA	intron (GSAP, intron 18 of 18)	NA	-63452	RP5-899E9.1								
Interval_2560	chr14	58171180	58171360	+	0	NA	Intergenic	NA	-19031	C14orf37								
Interval_7611	chr5	151151889	151152166	+	0	NA	intron (ANXA6, intron 1 of 24)	NA	5855	ANXA6								
Interval_1980	chr12	25250430	25250804	+	0	NA	intron (KRAS, intron 1 of 5)	NA	303	KRAS								
Interval_192	chr1	26621355	26621496	+	0	NA	Intergenic	NA	66883	MIR1976								
Interval_6632	chr3	62140060	62140218	+	0	NA	intron (PTPRG, intron 6 of 28)	NA	178808	PTPRG-AS1								
Interval_8267	chr7	2691528	2691705	+	0	NA	intron (AMZ1, intron 1 of 5)	NA	3414	AMZ1								
Interval_3585	chr17	8151254	8151525	+	0	NA	intron (PER1, intron 1 of 22)	NA	1046	PER1								
Interval_8416	chr7	66654389	66654618	+	0	NA	promoter-TSS (RP4-756H11.3)	NA	-16	RP4-756H11.3								
Interval_2130	chr12	76183592	76183733	+	0	NA	Intergenic	NA	-98970	NAP1L1								
Interval_1159	chr10	71727972	71728295	+	0	NA	intron (CDH23, intron 29 of 68)	NA	9691	C10orf105								
Interval_2797	chr15	34101693	34102129	+	0	NA	promoter-TSS (EMC7)	NA	-59	EMC7								
Interval_3070	chr15	101199778	101200122	+	0	NA	intron (CHSY1, intron 2 of 2)	NA	51982	CHSY1								
Interval_1102	chr10	50387718	50387893	+	0	NA	intron (SGMS1, intron 6 of 10)	NA	-139195	ASAH2								
Interval_2398	chr13	30735404	30735570	+	0	NA	promoter-TSS (ALOX5AP)	NA	-21	ALOX5AP								
Interval_4674	chr19	17419797	17419972	+	0	NA	promoter-TSS (MVB12A)	NA	-219	MVB12A								
Interval_4037	chr17	78916327	78916482	+	0	NA	intron (TIMP2, intron 1 of 4)	NA	8986	TIMP2								
Interval_5217	chr2	43107301	43107560	+	0	NA	Intergenic	NA	-4985	LOC100506047								
Interval_9043	chr8	102412387	102412680	+	0	NA	exon (UBR5, exon 1 of 59)	NA	186	UBR5								
Interval_535	chr1	123325228	123325381	+	0	NA	Intergenic	NA	1806192	EMBP1								
Interval_4851	chr19	45178330	45178747	+	0	NA	promoter-TSS (TRAPPC6A)	NA	-207	BLOC1S3								
Interval_2840	chr15	48794664	48794805	+	0	NA	intron (CEP152, intron 6 of 26)	NA	10856	LOC101928472								
Interval_548	chr1	124495216	124495367	+	0	NA	Intergenic	NA	2976179	EMBP1								
Interval_9375	chr9	35657760	35657987	+	0	NA	promoter-TSS (CCDC107)	NA	145	RMRP								
Interval_1761	chr11	77474224	77474534	+	0	NA	promoter-TSS (PAK1)	NA	-66058	PAK1								
Interval_2457	chr13	110471775	110472140	+	0	NA	intron (COL4A2, intron 28 of 47)	NA	-8670	COL4A2-AS2								
Interval_2422	chr13	41465262	41465544	+	0	NA	intron (RGCC, intron 2 of 4)	NA	7997	RGCC								
Interval_8272	chr7	2863763	2863939	+	0	NA	intron (LOC102723871, intron 1 of 1)	NA	1992	LOC102723871								
Interval_6179	chr21	45818488	45818692	+	0	NA	Intergenic	NA	17829	AL592528.1								
Interval_981	chr1	244835244	244835424	+	0	NA	promoter-TSS (COX20)	NA	-3	COX20								
Interval_9330	chr9	21381792	21382139	+	0	NA	Intergenic	NA	3432	IFNA2								
Interval_2652	chr14	76743084	76743270	+	0	NA	Intergenic	NA	-18758	VASH1								
Interval_4077	chr17	81871026	81871246	+	0	NA	promoter-TSS (ARHGDIA)	NA	270	ARHGDIA								
Interval_16	chr1	1511883	1512111	+	0	NA	promoter-TSS (ATAD3A)	NA	-146	ATAD3A								
Interval_3233	chr16	28823207	28823783	+	0	NA	promoter-TSS (ATXN2L)	NA	447	ATXN2L								
Interval_4884	chr19	46788336	46788497	+	0	NA	exon (SLC1A5, exon 1 of 8)	NA	603	SLC1A5								
Interval_8300	chr7	12686426	12687008	+	0	NA	promoter-TSS (ARL4A)	NA	-569	ARL4A								
Interval_9258	chr8	143948430	143948986	+	0	NA	intron (PLEC, intron 2 of 33)	NA	-3479	MIR661								
Interval_4821	chr19	42268314	42268574	+	0	NA	Intergenic	NA	-13316	ERF								
Interval_6765	chr3	138833897	138834091	+	0	NA	intron (PIK3CB, intron 1 of 23)	NA	944	PIK3CB								
Interval_9088	chr8	119655113	119655456	+	0	NA	intron (ENPP2, intron 1 of 26)	NA	-16418	ENPP2								
Interval_2227	chr12	112978333	112978566	+	0	NA	promoter-TSS (OAS2)	NA	-20	OAS2								
Interval_997	chr1	248838454	248838592	+	0	NA	exon (ZNF672, exon 1 of 4)	NA	313	ZNF672								
Interval_5160	chr2	27582918	27583090	+	0	NA	promoter-TSS (ZNF512)	NA	35	ZNF512								
Interval_9338	chr9	25999821	25999956	+	0	NA	Intergenic	NA	-66787	LOC100506422								
Interval_6299	chr22	37309814	37309997	+	0	NA	intron (CYTH4, intron 9 of 12)	NA	27451	CYTH4								
Interval_4093	chr17	82217560	82217937	+	0	NA	Intergenic	NA	-4935	CCDC57								
Interval_270	chr1	33099265	33099864	+	0	NA	intron (ADC, intron 8 of 9)	NA	18403	ADC								
Interval_8047	chr6	85643088	85643223	+	0	NA	promoter-TSS (SYNCRIP)	NA	-1704	SYNCRIP								
Interval_5968	chr20	49934987	49935128	+	0	NA	Intergenic	NA	-1320	RNF114								
Interval_9785	chrX	71532912	71533103	+	0	NA	promoter-TSS (OGT)	NA	-55	OGT								
Interval_7806	chr6	15245728	15246043	+	0	NA	promoter-TSS (JARID2)	NA	2811	JARID2-AS1								
Interval_7382	chr5	54902902	54903158	+	0	NA	Intergenic	NA	82556	ESM1								
Interval_6774	chr3	142447926	142448127	+	0	NA	promoter-TSS (XRN1)	NA	36	XRN1								
Interval_4338	chr19	753062	753446	+	0	NA	intron (MISP, intron 1 of 4)	NA	2344	MISP								
Interval_5395	chr2	101039072	101039217	+	0	NA	intron (TBC1D8, intron 6 of 19)	NA	36915	RPL31								
Interval_783	chr1	184946072	184946328	+	0	NA	intron (FAM129A, intron 1 of 13)	NA	28386	FAM129A								
Interval_7063	chr4	49657503	49657681	+	0	NA	Intergenic	NA	-168268	LOC101060532								
Interval_2468	chr13	114065372	114065705	+	0	NA	intron (RASA3, intron 2 of 25)	NA	67082	RASA3								
Interval_3019	chr15	84840957	84841098	+	0	NA	intron (ALPK3, intron 5 of 13)	NA	24347	ALPK3								
Interval_4738	chr19	33293588	33293808	+	0	NA	Intergenic	NA	8866	CEBPA								
Interval_3726	chr17	38869238	38869499	+	0	NA	promoter-TSS (LASP1)	NA	-5	TRNAC7								
Interval_8252	chr7	975226	975576	+	0	NA	intron (COX19, intron 1 of 2)	NA	198	COX19								
Interval_3296	chr16	46393394	46393665	+	0	NA	Intergenic	NA	175568	ANKRD26P1								
Interval_7563	chr5	140321800	140322148	+	0	NA	Intergenic	NA	-18870	PFDN1								
Interval_3575	chr17	7838452	7838791	+	0	NA	intron (KDM6B, intron 1 of 22)	NA	2830	KDM6B								
Interval_4153	chr18	9782425	9782571	+	0	NA	intron (RAB31, intron 2 of 6)	NA	74267	RAB31								
Interval_2160	chr12	93174536	93174677	+	0	NA	exon (LOC102724933, exon 1 of 3)	NA	240	LOC102724933								
Interval_7339	chr5	39074127	39074304	+	0	NA	intron (RICTOR, intron 1 of 37)	NA	193	RICTOR								
Interval_6164	chr21	42940242	42940394	+	0	NA	Intergenic	NA	10696	MIR5692B								
Interval_8882	chr8	54022314	54022550	+	0	NA	promoter-TSS (TCEA1)	NA	24	TCEA1								
Interval_6283	chr22	36239435	36239758	+	0	NA	promoter-TSS (APOL2)	NA	-2638	APOL2								
Interval_4030	chr17	78645920	78646202	+	0	NA	Intergenic	NA	-15891	LOC101928710								
Interval_2777	chr15	25438695	25438864	+	0	NA	promoter-TSS (UBE3A)	NA	264	UBE3A								
Interval_8603	chr7	140252845	140253257	+	0	NA	Intergenic	NA	75790	JHDM1D-AS1								
Interval_2272	chr12	121461159	121461316	+	0	NA	intron (KDM2B, intron 12 of 23)	NA	-16885	MIR7107								
Interval_8909	chr8	58397255	58397411	+	0	NA	Intergenic	NA	-14028	UBXN2B								
Interval_9269	chr8	144104592	144104727	+	0	NA	promoter-TSS (SHARPIN)	NA	257	MAF1								
Interval_6599	chr3	51391051	51391285	+	0	NA	promoter-TSS (RBM15B)	NA	-100	RBM15B								
Interval_3922	chr17	64975570	64975902	+	0	NA	promoter-TSS (AMZ2P1)	NA	-151	AMZ2P1								
Interval_3427	chr16	84116668	84117013	+	0	NA	promoter-TSS (MBTPS1)	NA	72	MBTPS1								
Interval_3674	chr17	27353681	27353982	+	0	NA	Intergenic	NA	59751	WSB1								
Interval_6922	chr3	196634408	196634576	+	0	NA	Intergenic	NA	-1854	LINC01063								
Interval_94	chr1	12184193	12184521	+	0	NA	intron (TNFRSF1B, intron 1 of 9)	NA	-7395	MIR4632								
Interval_3678	chr17	27532455	27532710	+	0	NA	intron (KSR1, intron 2 of 21)	NA	76118	KSR1								
Interval_3972	chr17	74776336	74776550	+	0	NA	promoter-TSS (NAT9)	NA	-66	TMEM104								
Interval_1412	chr11	695970	696131	+	0	NA	promoter-TSS (DEAF1)	NA	-310	DEAF1								
Interval_7859	chr6	26156393	26157143	+	0	NA	exon (HIST1H1E, exon 1 of 1)	NA	437	HIST1H1E								
Interval_6750	chr3	129593736	129594046	+	0	NA	intron (PLXND1, intron 1 of 35)	NA	12848	PLXND1								
Interval_7036	chr4	38857624	38857995	+	0	NA	promoter-TSS (TLR6)	NA	-992	TLR6								
Interval_6636	chr3	66386206	66386365	+	0	NA	exon (LRIG1, exon 13 of 19)	NA	114136	LRIG1								
Interval_8657	chr7	158704835	158705195	+	0	NA	promoter-TSS (NCAPG2)	NA	-184	NCAPG2								
Interval_8502	chr7	98771620	98771858	+	0	NA	Intergenic	NA	98311	TMEM130								
Interval_5877	chr20	34677012	34677203	+	0	NA	exon (PIGU, exon 1 of 12)	NA	178	PIGU								
Interval_360	chr1	52637149	52637290	+	0	NA	intron (FAM159A, intron 1 of 2)	NA	3825	FAM159A								
Interval_370	chr1	58546721	58546914	+	0	NA	promoter-TSS (OMA1)	NA	-43	OMA1								
Interval_5814	chr20	17558696	17558925	+	0	NA	exon (BFSP1, exon 1 of 8)	NA	150	BFSP1								
Interval_766	chr1	182391417	182391558	+	0	NA	promoter-TSS (GLUL)	NA	-83	GLUL								
Interval_2423	chr13	41955668	41955919	+	0	NA	intron (VWA8, intron 1 of 44)	NA	5309	VWA8								
Interval_5638	chr2	218892748	218893024	+	0	NA	exon (WNT10A, exon 4 of 4)	NA	12353	WNT10A								
Interval_9762	chrX	44282621	44282762	+	0	NA	intron (EFHC2, intron 2 of 14)	NA	60974	EFHC2								
Interval_9313	chr9	6758119	6758263	+	0	NA	exon (KDM4C, exon 1 of 18)	NA	808	KDM4C								
Interval_5167	chr2	28390291	28390650	+	0	NA	intron (FLJ31356, intron 1 of 1)	NA	-2367	FOSL2								
Interval_8806	chr8	30082556	30082884	+	0	NA	intron (TMEM66, intron 1 of 5)	NA	488	TMEM66								
Interval_6167	chr21	43725785	43726151	+	0	NA	intron (PDXK, intron 1 of 10)	NA	-7625	PDXK								
Interval_3949	chr17	72422959	72423134	+	0	NA	intron (LINC00673, intron 3 of 3)	NA	80106	RP11-1124B17.1								
Interval_1719	chr11	68751358	68751499	+	0	NA	promoter-TSS (MTL5)	NA	-732	MTL5								
Interval_5912	chr20	38280048	38280291	+	0	NA	intron (LOC149684, intron 1 of 1)	NA	-19397	KIAA1755								
Interval_5162	chr2	27890799	27890930	+	0	NA	promoter-TSS (RBKS)	NA	249	BRE								
Interval_7738	chr6	3001960	3002115	+	0	NA	intron (NQO2, intron 1 of 6)	NA	2187	NQO2								
Interval_7193	chr4	123416162	123416346	+	0	NA	Intergenic	NA	19459	SPRY1								
Interval_6275	chr22	35356404	35356578	+	0	NA	Intergenic	NA	-19703	MIR6069								
Interval_3473	chr16	88971847	88972012	+	0	NA	intron (CBFA2T3, intron 1 of 11)	NA	5227	CBFA2T3								
Interval_4655	chr19	16330439	16330645	+	0	NA	Intergenic	NA	5702	KLF2								
Interval_7170	chr4	106160616	106160786	+	0	NA	intron (TBCK, intron 21 of 23)	NA	-138223	RP11-710F7.3								
Interval_408	chr1	77978871	77979043	+	0	NA	promoter-TSS (DNAJB4)	NA	130	FUBP1								
Interval_5342	chr2	74833836	74834227	+	0	NA	promoter-TSS (HK2)	NA	1376	HK2								
Interval_4197	chr18	38940835	38941647	+	0	NA	Intergenic	NA	-385824	LOC101927879								
Interval_8513	chr7	100436343	100436530	+	0	NA	promoter-TSS (LOC101927632)	NA	35	PPP1R35								
Interval_5188	chr2	32916135	32916392	+	0	NA	intron (LINC00486, intron 5 of 5)	NA	-10864	AL121656.5								
Interval_9756	chrX	41084503	41084942	+	0	NA	promoter-TSS (USP9X)	NA	-895	USP9X								
Interval_131	chr1	19448944	19449173	+	0	NA	exon (CAPZB, exon 2 of 9)	NA	36583	CAPZB								
Interval_7725	chr6	2480248	2480406	+	0	NA	Intergenic	NA	154737	C6orf195								
Interval_4576	chr19	12919165	12919501	+	0	NA	promoter-TSS (SYCE2)	NA	-31	SYCE2								
Interval_5264	chr2	59236721	59236926	+	0	NA	intron (AC007131.1, intron 1 of 2)	NA	19115	AC007131.1								
Interval_9230	chr8	141308241	141308554	+	0	NA	Intergenic	NA	-32152	LOC731779								
Interval_9262	chr8	144003345	144003611	+	0	NA	Intergenic	NA	-8936	SPATC1								
Interval_9070	chr8	113497553	113497784	+	0	NA	Intergenic	NA	-60655	CSMD3								
Interval_6469	chr3	18444056	18444215	+	0	NA	promoter-TSS (LOC101929587)	NA	93	LOC101929587								
Interval_3790	chr17	44324743	44324884	+	0	NA	promoter-TSS (SLC25A39)	NA	29	SLC25A39								
Interval_378	chr1	59292669	59292902	+	0	NA	Intergenic	NA	-4227	FGGY								
Interval_5304	chr2	68690096	68690236	+	0	NA	Intergenic	NA	44344	PROKR1								
Interval_7379	chr5	54517538	54517919	+	0	NA	promoter-TSS (SNX18)	NA	-31	SNX18								
Interval_2890	chr15	63892998	63893411	+	0	NA	Intergenic	NA	-22185	MIR422A								
Interval_3429	chr16	84752015	84752208	+	0	NA	intron (USP10, intron 3 of 10)	NA	52116	USP10								
Interval_4035	chr17	78910977	78911175	+	0	NA	intron (TIMP2, intron 1 of 4)	NA	-7859	LOC100653515								
Interval_2530	chr14	49862783	49863211	+	0	NA	promoter-TSS (RN7SL2)	NA	-148	RN7SL2								
Interval_7694	chr5	177456458	177456633	+	0	NA	TTS (PRR7)	NA	-8601	PRR7-AS1								
Interval_5538	chr2	172046199	172046375	+	0	NA	intron (METAP1D, intron 1 of 9)	NA	-39193	DLX1								
Interval_172	chr1	25226937	25227100	+	0	NA	intron (SYF2, intron 5 of 6)	NA	5504	SYF2								
Interval_340	chr1	45802680	45802998	+	0	NA	promoter-TSS (MAST2)	NA	-52034	IPP								
Interval_9704	chrX	1320241	1320422	+	0	NA	intron (CSF2RA, intron 11 of 11)	NA	-16270	IL3RA								
Interval_8684	chr8	8310463	8310821	+	0	NA	Intergenic	NA	75789	SGK223								
Interval_358	chr1	51878834	51879072	+	0	NA	promoter-TSS (NRD1)	NA	-16	NRD1								
Interval_4483	chr19	6670151	6670282	+	0	NA	exon (TNFSF14, exon 1 of 4)	NA	372	TNFSF14								
Interval_8100	chr6	116571230	116571556	+	0	NA	promoter-TSS (RWDD1)	NA	26	RWDD1								
Interval_2072	chr12	54304295	54304579	+	0	NA	intron (NFE2, intron 1 of 2)	NA	-6543	NFE2								
Interval_3715	chr17	35809210	35809434	+	0	NA	promoter-TSS (TAF15)	NA	-133	TAF15								
Interval_9740	chrX	21993317	21993537	+	0	NA	intron (SMS, intron 9 of 9)	NA	33545	SMS								
Interval_6098	chr21	33230043	33230218	+	0	NA	exon (IFNAR2, exon 1 of 9)	NA	235	IFNAR2								
Interval_4417	chr19	2524907	2525170	+	0	NA	intron (GNG7, intron 3 of 4)	NA	-11467	LOC101929097								
Interval_8753	chr8	22693923	22694215	+	0	NA	promoter-TSS (EGR3)	NA	-1774	EGR3								
Interval_5064	chr19	58544531	58544672	+	0	NA	exon (TRIM28, exon 1 of 17)	NA	132	TRIM28								
Interval_7140	chr4	88378926	88379530	+	0	NA	intron (HERC6, intron 1 of 21)	NA	542	HERC6								
Interval_9261	chr8	143986160	143986678	+	0	NA	promoter-TSS (PARP10)	NA	48	PARP10								
Interval_1642	chr11	64778086	64778356	+	0	NA	promoter-TSS (SF1)	NA	-465	SF1								
Interval_4147	chr18	9017217	9017395	+	0	NA	Intergenic	NA	-85336	NDUFV2								
Interval_5567	chr2	186485974	186486271	+	0	NA	promoter-TSS (ZC3H15)	NA	-36	ZC3H15								
Interval_9127	chr8	124814847	124815103	+	0	NA	Intergenic	NA	-7015	MIR4662A								
Interval_6054	chr20	64079626	64079867	+	0	NA	promoter-TSS (OPRL1)	NA	225	RGS19								
Interval_1620	chr11	62806906	62807128	+	0	NA	exon (STX5, exon 11 of 11)	NA	-1533	NXF1								
Interval_1052	chr10	28333475	28333713	+	0	NA	Intergenic	NA	-30570	MPP7								
Interval_1522	chr11	35040369	35040510	+	0	NA	Intergenic	NA	98602	MIR1343								
Interval_2648	chr14	75301886	75302063	+	0	NA	Intergenic	NA	7570	RP11-293M10.5								
Interval_3080	chr16	507569	507957	+	0	NA	intron (RAB11FIP3, intron 8 of 13)	NA	19644	LINC00235								
Interval_3946	chr17	70169173	70169513	+	0	NA	promoter-TSS (KCNJ2)	NA	59	KCNJ2-AS1								
Interval_4699	chr19	18292005	18292514	+	0	NA	Intergenic	NA	10130	MIR3188								
Interval_7137	chr4	87422508	87422745	+	0	NA	promoter-TSS (NUDT9)	NA	50	NUDT9								
Interval_3461	chr16	88238723	88239035	+	0	NA	Intergenic	NA	44594	LOC101928880								
Interval_4700	chr19	18292914	18293141	+	0	NA	Intergenic	NA	10898	MIR3188								
Interval_3637	chr17	17682077	17682315	+	0	NA	intron (RAI1, intron 1 of 5)	NA	723	RAI1								
Interval_8887	chr8	54153228	54153762	+	0	NA	Intergenic	NA	18274	MRPL15								
Interval_6280	chr22	35589259	35589632	+	0	NA	Intergenic	NA	27892	MB								
Interval_429	chr1	89670254	89670418	+	0	NA	intron (LRRC8C, intron 1 of 2)	NA	2042	LRRC8C								
Interval_591	chr1	147600219	147600360	+	0	NA	exon (BCL9, exon 1 of 10)	NA	58888	BCL9								
Interval_8459	chr7	76358734	76358941	+	0	NA	exon (YWHAG, exon 1 of 2)	NA	188	YWHAG								
Interval_5897	chr20	36841983	36842224	+	0	NA	intron (SOGA1, intron 1 of 14)	NA	17770	SOGA1								
Interval_5360	chr2	86038395	86038585	+	0	NA	intron (POLR1A, intron 27 of 33)	NA	-14622	LOC90784								
Interval_5349	chr2	84888888	84889080	+	0	NA	Intergenic	NA	-7739	TRABD2A								
Interval_4346	chr19	848386	848579	+	0	NA	TTS (PRTN3)	NA	-2507	ELANE								
Interval_1423	chr11	1850413	1850568	+	0	NA	Intergenic	NA	9046	MIR4298								
Interval_5074	chr1_KI270713v1_random	21643	22250	+	0	NA	Intergenic	NA	6882	TRNAN-GUU-7								
Interval_2220	chr12	111444892	111445259	+	0	NA	exon (SH2B3, exon 1 of 7)	NA	187	SH2B3								
Interval_8814	chr8	33473041	33473311	+	0	NA	promoter-TSS (FUT10)	NA	-32	FUT10								
Interval_4152	chr18	9775149	9775360	+	0	NA	intron (RAB31, intron 1 of 6)	NA	67023	RAB31								
Interval_2305	chr12	124391387	124391579	+	0	NA	intron (NCOR2, intron 18 of 48)	NA	-54241	MIR6880								
Interval_4001	chr17	77099027	77099245	+	0	NA	intron (SEC14L1, intron 2 of 17)	NA	9708	MIR6516								
Interval_1521	chr11	34427390	34427749	+	0	NA	Intergenic	NA	-11356	CAT								
Interval_6148	chr21	38985260	38985410	+	0	NA	Intergenic	NA	-7561	AF064858.7								
Interval_662	chr1	154936797	154937063	+	0	NA	promoter-TSS (PMVK)	NA	78	PMVK								
Interval_1062	chr10	30999369	30999618	+	0	NA	promoter-TSS (ZNF438)	NA	-138	ZNF438								
Interval_4343	chr19	834329	834470	+	0	NA	Intergenic	NA	6568	AZU1								
Interval_8876	chr8	49874894	49875189	+	0	NA	Intergenic	NA	-34532	LOC102724295								
Interval_5555	chr2	177263438	177263947	+	0	NA	exon (NFE2L2, exon 1 of 5)	NA	1439	NFE2L2								
Interval_753	chr1	179882537	179882907	+	0	NA	exon (TOR1AIP1, exon 1 of 10)	NA	680	TOR1AIP1								
Interval_6502	chr3	33718175	33718316	+	0	NA	promoter-TSS (CLASP2)	NA	111	CLASP2								
Interval_9052	chr8	102810686	102811056	+	0	NA	Intergenic	NA	53298	AZIN1								
Interval_2698	chr14	91509840	91510196	+	0	NA	exon (SMEK1, exon 1 of 13)	NA	281	SMEK1								
Interval_9721	chrX	3142594	3142786	+	0	NA	Intergenic	NA	101219	ARSF								
Interval_7053	chr4	48341039	48341370	+	0	NA	promoter-TSS (SLAIN2)	NA	-392	SLAIN2								
