PeakID (cmd=annotatePeaks.pl ERG.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_29301	chr4	54233173	54233682	+	0	NA	intron (PDGFRA, intron 1 of 22)	NA	4297	PDGFRA								
Interval_29395	chr4	56978591	56979387	+	0	NA	promoter-TSS (POLR2B)	NA	46	POLR2B								
Interval_8108	chr12	6318318	6318540	+	0	NA	intron (PLEKHG6, intron 11 of 15)	NA	7734	PLEKHG6								
Interval_7725	chr11	121194762	121195075	+	0	NA	Intergenic	NA	92252	TECTA								
Interval_10871	chr13	79393707	79394097	+	0	NA	intron (RBM26, intron 1 of 20)	NA	12356	RBM26								
Interval_33443	chr6	43977481	43977647	+	0	NA	Intergenic	NA	-23036	C6orf223								
Interval_26086	chr3	4519010	4519352	+	0	NA	intron (ITPR1, intron 3 of 59)	NA	25833	ITPR1								
Interval_12805	chr15	41916616	41916975	+	0	NA	intron (EHD4, intron 4 of 5)	NA	-4600	LOC101928363								
Interval_13406	chr15	74540865	74541606	+	0	NA	promoter-TSS (ARID3B)	NA	28	ARID3B								
Interval_2503	chr1	154404902	154405762	+	0	NA	promoter-TSS (IL6R)	NA	139	IL6R								
Interval_8977	chr12	55847960	55848275	+	0	NA	Intergenic	NA	-5148	MMP19								
Interval_15640	chr17	10018455	10018633	+	0	NA	intron (GAS7, intron 2 of 13)	NA	41235	GAS7								
Interval_17295	chr17	81101767	81101957	+	0	NA	intron (BAIAP2, intron 8 of 15)	NA	23511	MIR657								
Interval_13688	chr15	85751334	85751634	+	0	NA	TTS (RP11-158M2.5)	NA	5146	RP11-158M2.5								
Interval_13808	chr15	91308955	91309158	+	0	NA	Intergenic	NA	-154283	RP11-661P17.1								
Interval_40729	chrX	130086956	130087309	+	0	NA	promoter-TSS (ELF4)	NA	23581	ELF4								
Interval_40583	chrX	107628505	107628906	+	0	NA	exon (PRPS1, exon 1 of 4)	NA	281	PRPS1								
Interval_3527	chr1	211949548	211949840	+	0	NA	intron (INTS7, intron 17 of 19)	NA	-85859	DTL								
Interval_33207	chr6	35081499	35081821	+	0	NA	intron (ANKS1A, intron 18 of 24)	NA	59750	TCP11								
Interval_36086	chr7	117839573	117839830	+	0	NA	intron (CTTNBP2, intron 2 of 22)	NA	33806	CTTNBP2								
Interval_22793	chr2	193907582	193907820	+	0	NA	Intergenic	NA	-436568	AC018799.1								
Interval_19121	chr19	17859598	17860059	+	0	NA	promoter-TSS (RPL18A)	NA	-50	RPL18A								
Interval_21650	chr2	97662794	97662993	+	0	NA	intron (ACTR1B, intron 1 of 9)	NA	1205	ACTR1B								
Interval_23853	chr20	23449563	23449753	+	0	NA	TTS (CST11)	NA	3187	CST11								
Interval_34136	chr6	134021630	134022099	+	0	NA	intron (SLC2A12, intron 2 of 2)	NA	30787	SLC2A12								
Interval_30262	chr4	184347461	184347720	+	0	NA	intron (RP11-290F5.2, intron 2 of 2)	NA	6387	RP11-290F5.2								
Interval_13582	chr15	80643461	80643965	+	0	NA	Intergenic	NA	-51598	ABHD17C								
Interval_7673	chr11	119030801	119031068	+	0	NA	promoter-TSS (SLC37A4)	NA	-28	SLC37A4								
Interval_34451	chr6	148637733	148637925	+	0	NA	Intergenic	NA	-109306	UST								
Interval_14201	chr16	9258553	9258759	+	0	NA	Intergenic	NA	-143074	LOC101927009								
Interval_21799	chr2	105297376	105297604	+	0	NA	intron (TGFBRAP1, intron 3 of 11)	NA	32224	TGFBRAP1								
Interval_19049	chr19	16587477	16587989	+	0	NA	intron (MED26, intron 1 of 2)	NA	-15351	SLC35E1								
Interval_23997	chr20	33859287	33859669	+	0	NA	Intergenic	NA	48174	CHMP4B								
Interval_22950	chr2	205706850	205707497	+	0	NA	intron (NRP2, intron 2 of 15)	NA	24673	NRP2								
Interval_36322	chr7	149714616	149715187	+	0	NA	promoter-TSS (KRBA1)	NA	-156	KRBA1								
Interval_4001	chr1	244254500	244254886	+	0	NA	Intergenic	NA	-97942	C1orf100								
Interval_15139	chr16	85303058	85303671	+	0	NA	promoter-TSS (LOC727710)	NA	100	LOC727710								
Interval_10246	chr13	26221601	26222668	+	0	NA	promoter-TSS (RNF6)	NA	-377	RNF6								
Interval_37174	chr8	65951053	65952183	+	0	NA	Intergenic	NA	-69938	DNAJC5B								
Interval_7507	chr11	110431483	110431688	+	0	NA	intron (FDX1, intron 1 of 3)	NA	1648	FDX1								
Interval_35890	chr7	101720520	101720692	+	0	NA	Intergenic	NA	-96323	MYL10								
Interval_9551	chr12	104289276	104289610	+	0	NA	intron (TXNRD1, intron 2 of 13)	NA	-14289	EID3								
Interval_750	chr1	27343156	27343707	+	0	NA	intron (SYTL1, intron 1 of 8)	NA	1439	SYTL1								
Interval_36553	chr8	11409499	11409776	+	0	NA	intron (C8orf12, intron 3 of 6)	NA	36984	FAM167A								
Interval_7314	chr11	84686729	84687204	+	0	NA	intron (DLG2, intron 6 of 27)	NA	236623	DLG2								
Interval_10802	chr13	73765604	73765916	+	0	NA	intron (KLF12, intron 5 of 7)	NA	-155211	LOC101927103								
Interval_19187	chr19	18588549	18589172	+	0	NA	promoter-TSS (C19orf60)	NA	175	C19orf60								
Interval_17422	chr17	82496886	82497335	+	0	NA	Intergenic	NA	-2318	TRNAM14								
Interval_9691	chr12	111404724	111405244	+	0	NA	promoter-TSS (SH2B3)	NA	-933	SH2B3								
Interval_14509	chr16	31367948	31368163	+	0	NA	intron (ITGAX, intron 14 of 29)	NA	12921	ITGAX								
Interval_4702	chr10	43599323	43599589	+	0	NA	Intergenic	NA	-6951	ZNF485								
Interval_7132	chr11	72720228	72720402	+	0	NA	intron (ARAP1, intron 3 of 34)	NA	2043	ARAP1								
Interval_3652	chr1	224113826	224114819	+	0	NA	exon (FBXO28, exon 1 of 4)	NA	235	FBXO28								
Interval_23904	chr20	29392005	29392166	+	0	NA	Intergenic	NA	24876	FLJ20518								
Interval_20195	chr19	54973735	54974190	+	0	NA	intron (NLRP2, intron 3 of 13)	NA	7619	NLRP2								
Interval_12332	chr14	100317990	100318157	+	0	NA	Intergenic	NA	-5269	SLC25A47								
Interval_5770	chr10	119030639	119030970	+	0	NA	exon (NANOS1, exon 1 of 1)	NA	1088	NANOS1								
Interval_34862	chr7	6258908	6259087	+	0	NA	intron (CYTH3, intron 1 of 12)	NA	13614	CYTH3								
Interval_35157	chr7	30347980	30348352	+	0	NA	intron (ZNRF2, intron 2 of 4)	NA	-21884	DKFZP586I1420								
Interval_6613	chr11	61695968	61696289	+	0	NA	intron (DAGLA, intron 1 of 19)	NA	15695	DAGLA								
Interval_26977	chr3	52005811	52006060	+	0	NA	Intergenic	NA	-2160	LOC101929702								
Interval_2421	chr1	151370216	151370760	+	0	NA	intron (SELENBP1, intron 1 of 11)	NA	2246	SELENBP1								
Interval_20841	chr2	37600881	37601052	+	0	NA	Intergenic	NA	71233	CDC42EP3								
Interval_14700	chr16	57694775	57695404	+	0	NA	intron (CCDC135, intron 1 of 17)	NA	288	CCDC135								
Interval_20914	chr2	42510595	42510921	+	0	NA	intron (MTA3, intron 2 of 17)	NA	16189	MTA3								
Interval_12776	chr15	40894843	40895022	+	0	NA	intron (VPS18, intron 1 of 4)	NA	502	VPS18								
Interval_40482	chrX	74534748	74535035	+	0	NA	TTS (SLC16A2)	NA	79735	RLIM								
Interval_21208	chr2	64273550	64273841	+	0	NA	Intergenic	NA	45241	AC074289.1								
Interval_6567	chr11	59767186	59767494	+	0	NA	intron (STX3, intron 1 of 10)	NA	12334	STX3								
Interval_25207	chr22	19986396	19986853	+	0	NA	intron (ARVCF, intron 3 of 18)	NA	573	ARVCF								
Interval_20948	chr2	43774030	43774576	+	0	NA	intron (DYNC2LI1, intron 1 of 13)	NA	247	DYNC2LI1								
Interval_18722	chr19	10428092	10428565	+	0	NA	intron (PDE4A, intron 1 of 14)	NA	-24629	PDE4A								
Interval_10204	chr13	23466216	23466906	+	0	NA	Intergenic	NA	-2951	LINC00327								
Interval_31167	chr5	91315814	91316062	+	0	NA	Intergenic	NA	-1536	LUCAT1								
Interval_3634	chr1	223143221	223143403	+	0	NA	promoter-TSS (TLR5)	NA	-1651	TLR5								
Interval_28366	chr3	186481576	186481927	+	0	NA	intron (RP11-48F14.1, intron 2 of 7)	NA	11910	RP11-48F14.1								
Interval_18290	chr19	953278	953439	+	0	NA	intron (ARID3A, intron 3 of 8)	NA	27321	ARID3A								
Interval_18146	chr18	69947338	69947625	+	0	NA	exon (CD226, exon 1 of 6)	NA	14324	CD226								
Interval_23060	chr2	217790309	217790621	+	0	NA	Intergenic	NA	-33872	DIRC3								
Interval_19790	chr19	45668081	45668257	+	0	NA	promoter-TSS (GIPR)	NA	-75	GIPR								
Interval_25620	chr22	37464281	37464514	+	0	NA	Intergenic	NA	22043	MFNG								
Interval_31255	chr5	99187736	99187903	+	0	NA	Intergenic	NA	215772	LOC102724810								
Interval_38645	chr9	71146597	71146852	+	0	NA	intron (TRPM3, intron 1 of 25)	NA	-277666	TRPM3								
Interval_6012	chr11	1478597	1478913	+	0	NA	intron (MOB2, intron 3 of 4)	NA	2130	MOB2								
Interval_26911	chr3	50274369	50274771	+	0	NA	exon (SEMA3B, exon 12 of 18)	NA	1329	MIR6872								
Interval_30827	chr5	61626978	61627219	+	0	NA	Intergenic	NA	-10711	C5orf64								
Interval_2577	chr1	155659957	155660216	+	0	NA	TTS (YY1AP1)	NA	28691	YY1AP1								
Interval_27063	chr3	56980830	56981108	+	0	NA	intron (ARHGEF3, intron 2 of 12)	NA	40929	ARHGEF3-AS1								
Interval_330	chr1	11650297	11650673	+	0	NA	exon (FBXO2, exon 2 of 6)	NA	4296	FBXO2								
Interval_40603	chrX	109760395	109760635	+	0	NA	Intergenic	NA	-27230	ACSL4								
Interval_39756	chr9	135962580	135962867	+	0	NA	Intergenic	NA	-1343	UBAC1								
Interval_19769	chr19	45442940	45443134	+	0	NA	intron (ERCC1, intron 1 of 8)	NA	6383	MIR6088								
Interval_4061	chr1	246507030	246507275	+	0	NA	exon (SMYD3, exon 1 of 12)	NA	166	SMYD3								
Interval_6018	chr11	1792522	1792828	+	0	NA	Intergenic	NA	-28683	CTSD								
Interval_26895	chr3	49939969	49940729	+	0	NA	intron (RBM6, intron 1 of 20)	NA	275	RBM6								
Interval_22452	chr2	168466971	168467181	+	0	NA	intron (CERS6, intron 1 of 10)	NA	10827	CERS6								
Interval_34700	chr7	1192186	1192635	+	0	NA	Intergenic	NA	32036	AC091729.9								
Interval_9031	chr12	56991581	56991970	+	0	NA	Intergenic	NA	-2796	GPR182								
Interval_29173	chr4	40573944	40574356	+	0	NA	intron (RBM47, intron 1 of 6)	NA	56471	RBM47								
Interval_7363	chr11	88175413	88175636	+	0	NA	promoter-TSS (MIR3166)	NA	-57	RAB38								
Interval_9480	chr12	98371456	98371735	+	0	NA	Intergenic	NA	85550	SLC9A7P1								
Interval_10011	chr12	124914442	124915141	+	0	NA	promoter-TSS (MIR5188)	NA	250	UBC								
Interval_35964	chr7	106590495	106590705	+	0	NA	Intergenic	NA	-12359	LOC102724339								
Interval_21061	chr2	48440447	48440999	+	0	NA	promoter-TSS (PPP1R21)	NA	-46	PPP1R21								
Interval_14784	chr16	67216982	67217253	+	0	NA	intron (LRRC29, intron 2 of 6)	NA	9881	LRRC29								
Interval_8797	chr12	50032678	50033635	+	0	NA	Intergenic	NA	-7673	RACGAP1								
Interval_10660	chr13	49690991	49691611	+	0	NA	exon (EBPL, exon 1 of 3)	NA	186	EBPL								
Interval_35017	chr7	21261864	21262641	+	0	NA	Intergenic	NA	-165823	SP4								
Interval_39270	chr9	121604294	121604562	+	0	NA	intron (DAB2IP, intron 1 of 15)	NA	-47324	DAB2IP								
Interval_2918	chr1	171948543	171948835	+	0	NA	intron (DNM3, intron 2 of 21)	NA	107211	DNM3								
Interval_23933	chr20	31812370	31812613	+	0	NA	Intergenic	NA	-6884	MYLK2								
Interval_35851	chr7	100694519	100694704	+	0	NA	promoter-TSS (GIGYF1)	NA	-634	GIGYF1								
Interval_39120	chr9	110321076	110321333	+	0	NA	intron (TXNDC8, intron 4 of 5)	NA	16680	TXNDC8								
Interval_24863	chr21	35509052	35509355	+	0	NA	intron (LOC100506403, intron 1 of 2)	NA	71561	LOC100506403								
Interval_10191	chr13	21985863	21986283	+	0	NA	Intergenic	NA	-107913	LINC00424								
Interval_28128	chr3	170908495	170909164	+	0	NA	promoter-TSS (EIF5A2)	NA	-192	EIF5A2								
Interval_8036	chr12	2752697	2752939	+	0	NA	Intergenic	NA	18851	RP11-885B4.2								
Interval_30987	chr5	76341988	76342305	+	0	NA	intron (SV2C, intron 12 of 12)	NA	258974	SV2C								
Interval_40829	chrX	148310356	148310751	+	0	NA	Intergenic	NA	-190066	AFF2								
Interval_38113	chr8	143616278	143616503	+	0	NA	intron (TSTA3, intron 2 of 10)	NA	1010	TSTA3								
Interval_21970	chr2	113756050	113756293	+	0	NA	exon (SLC35F5, exon 1 of 17)	NA	652	SLC35F5								
Interval_446	chr1	16895601	16895922	+	0	NA	promoter-TSS (RNU1-2)	NA	-219	RNU1-2								
Interval_18023	chr18	51198068	51198418	+	0	NA	promoter-TSS (MEX3C)	NA	-562	MEX3C								
Interval_33860	chr6	106513172	106513334	+	0	NA	intron (AIM1, intron 1 of 19)	NA	1398	AIM1								
Interval_19690	chr19	43732342	43732698	+	0	NA	intron (SMG9, intron 13 of 13)	NA	16458	IRGC								
Interval_20071	chr19	51395409	51395578	+	0	NA	Intergenic	NA	-4919	C19orf84								
Interval_33849	chr6	105994704	105995163	+	0	NA	Intergenic	NA	-101666	PRDM1								
Interval_35579	chr7	75073634	75073967	+	0	NA	promoter-TSS (WBSCR16)	NA	81	WBSCR16								
Interval_25157	chr22	17780410	17780655	+	0	NA	Intergenic	NA	3242	LINC00528								
Interval_18093	chr18	60259023	60259511	+	0	NA	Intergenic	NA	113501	MC4R								
Interval_18998	chr19	15812293	15812619	+	0	NA	Intergenic	NA	-4330	OR10H1								
Interval_18118	chr18	63074736	63074964	+	0	NA	Intergenic	NA	244530	BCL2								
Interval_28467	chr3	192898887	192899571	+	0	NA	intron (MB21D2, intron 1 of 1)	NA	18932	MB21D2								
Interval_2957	chr1	173870198	173870737	+	0	NA	exon (ZBTB37, exon 3 of 4)	NA	2112	ZBTB37								
Interval_26446	chr3	27592044	27592229	+	0	NA	Intergenic	NA	-107716	SLC4A7								
Interval_29195	chr4	42671437	42671911	+	0	NA	Intergenic	NA	-34433	LOC101927095								
Interval_8188	chr12	7068676	7068860	+	0	NA	intron (C1S, intron 11 of 11)	NA	7453	C1S								
Interval_2209	chr1	117510998	117511166	+	0	NA	intron (MAN1A2, intron 12 of 13)	NA	-94900	FAM46C								
Interval_1575	chr1	66750650	66750908	+	0	NA	exon (SGIP1, exon 24 of 24)	NA	-1678	TCTEX1D1								
Interval_3377	chr1	204807234	204807529	+	0	NA	Intergenic	NA	-63335	NFASC								
Interval_14554	chr16	47143384	47143650	+	0	NA	promoter-TSS (RP11-329J18.2)	NA	508	NETO2								
Interval_6335	chr11	36289360	36289595	+	0	NA	promoter-TSS (COMMD9)	NA	-28	COMMD9								
Interval_29612	chr4	78668066	78668453	+	0	NA	intron (LINC01094, intron 2 of 2)	NA	22265	LINC01094								
Interval_12958	chr15	52021188	52021360	+	0	NA	intron (MAPK6, intron 1 of 5)	NA	17009	MAPK6								
Interval_33451	chr6	44200650	44200902	+	0	NA	Intergenic	NA	-16148	LOC101929726								
Interval_4776	chr10	48935328	48935603	+	0	NA	intron (LRRC18, intron 1 of 2)	NA	4470	LRRC18								
Interval_33461	chr6	44264172	44264619	+	0	NA	intron (NFKBIE, intron 1 of 5)	NA	1393	NFKBIE								
Interval_39631	chr9	131635477	131635641	+	0	NA	intron (RAPGEF1, intron 4 of 25)	NA	41094	RAPGEF1								
Interval_14845	chr16	68286219	68286535	+	0	NA	exon (SLC7A6, exon 1 of 10)	NA	21861	SLC7A6								
Interval_25016	chr21	42893344	42893881	+	0	NA	intron (NDUFV3, intron 1 of 2)	NA	344	NDUFV3								
Interval_14378	chr16	28141958	28142242	+	0	NA	intron (XPO6, intron 7 of 21)	NA	69818	XPO6								
Interval_5743	chr10	117237379	117237760	+	0	NA	Intergenic	NA	-3504	SLC18A2								
Interval_38752	chr9	81682878	81683088	+	0	NA	intron (TLE1, intron 4 of 19)	NA	5466	TLE1								
Interval_11343	chr14	24277799	24278296	+	0	NA	Intergenic	NA	-6420	RABGGTA								
Interval_9708	chr12	111741492	111741719	+	0	NA	intron (ACAD10, intron 12 of 20)	NA	-25282	ALDH2								
Interval_23036	chr2	216535570	216535986	+	0	NA	intron (LOC101928180, intron 1 of 1)	NA	16599	LOC101928156								
Interval_29298	chr4	54209814	54210007	+	0	NA	Intergenic	NA	-19220	PDGFRA								
Interval_2950	chr1	173476534	173477001	+	0	NA	promoter-TSS (PRDX6)	NA	388	LOC100506023								
Interval_25702	chr22	39077137	39077358	+	0	NA	exon (APOBEC3G, exon 1 of 7)	NA	168	APOBEC3G								
Interval_16653	chr17	63066552	63066729	+	0	NA	intron (TANC2, intron 2 of 25)	NA	100086	TANC2								
Interval_21914	chr2	112583994	112584838	+	0	NA	promoter-TSS (CHCHD5)	NA	-43	CHCHD5								
Interval_16486	chr17	56594119	56594407	+	0	NA	exon (NOG, exon 1 of 1)	NA	564	NOG								
Interval_36203	chr7	138226000	138226369	+	0	NA	Intergenic	NA	102426	MIR4468								
Interval_14626	chr16	54929775	54929955	+	0	NA	promoter-TSS (CRNDE)	NA	-1087	CRNDE								
Interval_17224	chr17	79811418	79812100	+	0	NA	Intergenic	NA	-6112	LOC102723961								
Interval_11929	chr14	74612531	74612779	+	0	NA	promoter-TSS (LTBP2)	NA	-324	LTBP2								
Interval_12447	chr14	104933337	104933657	+	0	NA	TTS (PLD4)	NA	6377	PLD4								
Interval_23742	chr20	15609783	15610298	+	0	NA	intron (MACROD2, intron 8 of 17)	NA	-680522	MACROD2-AS1								
Interval_7756	chr11	122717043	122718035	+	0	NA	intron (UBASH3B, intron 1 of 13)	NA	61849	UBASH3B								
Interval_25154	chr22	17771541	17771953	+	0	NA	intron (BID, intron 1 of 5)	NA	2295	BID								
Interval_13319	chr15	70241999	70242221	+	0	NA	Intergenic	NA	-145807	TLE3								
Interval_15423	chr17	2059002	2059533	+	0	NA	TTS (SMG6)	NA	4168	HIC1								
Interval_1231	chr1	44723287	44723932	+	0	NA	intron (C1orf228, intron 6 of 10)	NA	-1708	RNU5F-1								
Interval_23231	chr2	230319234	230319485	+	0	NA	Intergenic	NA	-7817	SP140L								
Interval_24285	chr20	48920910	48921394	+	0	NA	promoter-TSS (ARFGEF2)	NA	-52049	ARFGEF2								
Interval_22032	chr2	121529912	121531339	+	0	NA	promoter-TSS (RNU4ATAC)	NA	-255	RNU4ATAC								
Interval_9651	chr12	110073144	110073586	+	0	NA	Intergenic	NA	-24794	C12orf76								
Interval_452	chr1	16921614	16922046	+	0	NA	promoter-TSS (CROCC)	NA	-2408	CROCC								
Interval_38808	chr9	87495077	87495283	+	0	NA	Intergenic	NA	-2731	DAPK1								
Interval_30205	chr4	170012157	170012319	+	0	NA	intron (MFAP3L, intron 1 of 4)	NA	14984	MFAP3L								
Interval_9998	chr12	124694320	124694729	+	0	NA	Intergenic	NA	-86963	LOC101927436								
Interval_10587	chr13	46295853	46296031	+	0	NA	TTS (LINC00563)	NA	1902	LINC00563								
Interval_17138	chr17	78128497	78129575	+	0	NA	promoter-TSS (TMC6)	NA	-281	TMC6								
Interval_27652	chr3	129015720	129016027	+	0	NA	intron (EFCC1, intron 2 of 7)	NA	14585	EFCC1								
Interval_12982	chr15	53974950	53975133	+	0	NA	Intergenic	NA	-3321	UNC13C								
Interval_18619	chr19	7652058	7652349	+	0	NA	Intergenic	NA	15102	STXBP2								
Interval_10779	chr13	69155263	69155426	+	0	NA	Intergenic	NA	-270019	LINC00550								
Interval_4745	chr10	46033719	46033998	+	0	NA	intron (MSMB, intron 2 of 2)	NA	-3144	NCOA4								
Interval_20659	chr2	25285992	25286322	+	0	NA	intron (DNMT3A, intron 3 of 20)	NA	42564	MIR1301								
Interval_34732	chr7	2105384	2105583	+	0	NA	intron (MAD1L1, intron 11 of 18)	NA	127410	MAD1L1								
Interval_512	chr1	19533739	19533946	+	0	NA	Intergenic	NA	-49135	CAPZB								
Interval_15708	chr17	17304481	17304785	+	0	NA	intron (NT5M, intron 2 of 5)	NA	1250	NT5M								
Interval_14181	chr16	5616181	5616424	+	0	NA	promoter-TSS (RP11-124K4.1)	NA	-54	RP11-124K4.1								
Interval_26634	chr3	39250096	39250327	+	0	NA	intron (LOC102724104, intron 1 of 2)	NA	-8185	LOC102724104								
Interval_33563	chr6	53344823	53345060	+	0	NA	intron (ELOVL5, intron 1 of 8)	NA	-7324	RPS16P5								
Interval_30124	chr4	152399333	152399606	+	0	NA	intron (FBXW7, intron 2 of 11)	NA	61814	DEAR								
Interval_29110	chr4	37978259	37978522	+	0	NA	intron (TBC1D1, intron 1 of 21)	NA	17955	PTTG2								
Interval_34843	chr7	5609551	5609863	+	0	NA	Intergenic	NA	16902	FSCN1								
Interval_14533	chr16	46387800	46388050	+	0	NA	Intergenic	NA	181172	ANKRD26P1								
Interval_7969	chr12	752359	752527	+	0	NA	promoter-TSS (WNK1)	NA	-150	WNK1								
Interval_5389	chr10	95841728	95842024	+	0	NA	intron (ENTPD1, intron 3 of 8)	NA	-66089	C10orf131								
Interval_28732	chr4	1782324	1782489	+	0	NA	Intergenic	NA	-10893	FGFR3								
Interval_10426	chr13	34991215	34991447	+	0	NA	intron (NBEA, intron 1 of 34)	NA	-188392	NBEA								
Interval_22167	chr2	134245355	134245669	+	0	NA	intron (MGAT5, intron 1 of 16)	NA	-7716	MGAT5								
Interval_8960	chr12	55143332	55143515	+	0	NA	Intergenic	NA	13654	OR9K2								
Interval_37156	chr8	63146914	63147182	+	0	NA	Intergenic	NA	21394	YTHDF3-AS1								
Interval_40656	chrX	119678537	119679020	+	0	NA	intron (SEPT6, intron 1 of 9)	NA	14592	SEPT6								
Interval_18631	chr19	8004670	8004982	+	0	NA	intron (ELAVL1, intron 1 of 6)	NA	786	ELAVL1								
Interval_33876	chr6	107848352	107848646	+	0	NA	Intergenic	NA	-24182	SCML4								
Interval_8970	chr12	55730498	55730688	+	0	NA	promoter-TSS (CD63)	NA	-1455	CD63								
Interval_24369	chr20	51431311	51431753	+	0	NA	intron (NFATC2, intron 9 of 10)	NA	21445	MIR3194								
Interval_7653	chr11	118689866	118690462	+	0	NA	intron (LOC102724266, intron 1 of 1)	NA	-10514	TREH								
Interval_26208	chr3	11227608	11227894	+	0	NA	intron (HRH1, intron 1 of 1)	NA	-21101	LOC102723663								
Interval_16654	chr17	63157060	63157333	+	0	NA	intron (TANC2, intron 5 of 25)	NA	190642	TANC2								
Interval_10108	chr12	132716987	132717196	+	0	NA	intron (PGAM5, intron 2 of 5)	NA	6284	PGAM5								
Interval_25257	chr22	21867597	21867927	+	0	NA	promoter-TSS (MAPK1)	NA	-82	MAPK1								
Interval_11828	chr14	69642379	69642574	+	0	NA	intron (KIAA0247, intron 1 of 5)	NA	30883	KIAA0247								
Interval_14802	chr16	67537367	67537559	+	0	NA	promoter-TSS (FAM65A)	NA	5915	FAM65A								
Interval_11430	chr14	35506994	35507255	+	0	NA	Intergenic	NA	-26918	INSM2								
Interval_12338	chr14	100640509	100640895	+	0	NA	Intergenic	NA	-16566	LINC00523								
Interval_5313	chr10	89327836	89328078	+	0	NA	exon (IFIT3, exon 1 of 2)	NA	112	IFIT3								
Interval_14452	chr16	30429146	30429423	+	0	NA	intron (DCTPP1, intron 1 of 2)	NA	768	DCTPP1								
Interval_19484	chr19	38664387	38664967	+	0	NA	intron (ACTN4, intron 1 of 20)	NA	17061	ACTN4								
Interval_40627	chrX	113906232	113906418	+	0	NA	Intergenic	NA	-64494	LOC102724491								
Interval_17688	chr18	22282604	22282865	+	0	NA	Intergenic	NA	29281	LOC101927548								
Interval_33624	chr6	64815945	64816109	+	0	NA	intron (EYS, intron 21 of 42)	NA	-485391	LOC441155								
Interval_38948	chr9	94623335	94623583	+	0	NA	intron (FBP1, intron 1 of 6)	NA	16790	FBP1								
Interval_25014	chr21	42850863	42851062	+	0	NA	intron (WDR4, intron 10 of 11)	NA	28313	WDR4								
Interval_4072	chr1	246709782	246710112	+	0	NA	Intergenic	NA	-14129	SCCPDH								
Interval_2236	chr1	120176227	120176740	+	0	NA	promoter-TSS (SEC22B)	NA	38	SEC22B								
Interval_12068	chr14	81209170	81209391	+	0	NA	intron (GTF2A1, intron 2 of 8)	NA	-6446	SNORA79								
Interval_29857	chr4	96649675	96649895	+	0	NA	Intergenic	NA	-497382	RNU6-34P								
Interval_40839	chrX	149540636	149540986	+	0	NA	promoter-TSS (CXorf40A)	NA	-166	CXorf40A								
Interval_18714	chr19	10402409	10402796	+	0	NA	TTS (MIR1181)	NA	923	MIR1181								
Interval_31097	chr5	85459614	85459860	+	0	NA	Intergenic	NA	-155632	LOC101929321								
Interval_15680	chr17	15684176	15684457	+	0	NA	Intergenic	NA	-1437	TRIM16								
Interval_31758	chr5	139701042	139701731	+	0	NA	Intergenic	NA	25885	CXXC5								
Interval_27269	chr3	97764392	97764897	+	0	NA	TTS (LOC101929298)	NA	111	ARL6								
Interval_6838	chr11	65540799	65541090	+	0	NA	exon (LTBP3, exon 21 of 27)	NA	15867	SCYL1								
Interval_11116	chr13	110562315	110562658	+	0	NA	promoter-TSS (RAB20)	NA	-762	RAB20								
Interval_35064	chr7	24831331	24831604	+	0	NA	intron (OSBPL3, intron 14 of 21)	NA	-74003	DFNA5								
Interval_38914	chr9	92764937	92765302	+	0	NA	promoter-TSS (BICD2)	NA	-318	BICD2								
Interval_2296	chr1	145997078	145997647	+	0	NA	promoter-TSS (TXNIP)	NA	-731	TXNIP								
Interval_39302	chr9	122821524	122821973	+	0	NA	intron (PDCL, intron 3 of 3)	NA	6908	PDCL								
Interval_39908	chrUn_GL000195v1	137755	138141	+	0	NA	Intergenic	NA	-51251	LOC389831								
Interval_15949	chr17	37606145	37606309	+	0	NA	intron (SYNRG, intron 1 of 22)	NA	3211	SYNRG								
Interval_18800	chr19	12092071	12092244	+	0	NA	promoter-TSS (ZNF788)	NA	-106	ZNF788								
Interval_6072	chr11	4086705	4086865	+	0	NA	exon (STIM1, exon 11 of 12)	NA	-7909	RRM1								
Interval_26070	chr3	2156383	2156609	+	0	NA	intron (CNTN4, intron 2 of 24)	NA	-12255	CNTN4-AS2								
Interval_36237	chr7	140176965	140177445	+	0	NA	promoter-TSS (JHDM1D-AS1)	NA	-56	JHDM1D-AS1								
Interval_33726	chr6	84645685	84645845	+	0	NA	Intergenic	NA	-43639	LOC102724201								
Interval_13480	chr15	75903630	75904122	+	0	NA	promoter-TSS (FBXO22)	NA	17	FBXO22								
Interval_2053	chr1	109790630	109791178	+	0	NA	Intergenic	NA	-26882	EPS8L3								
Interval_17553	chr18	8938820	8939295	+	0	NA	Intergenic	NA	-163585	NDUFV2								
Interval_12299	chr14	99602346	99602520	+	0	NA	intron (CCDC85C, intron 1 of 5)	NA	1957	CCDC85C								
Interval_39802	chr9	136632081	136632412	+	0	NA	Intergenic	NA	-7005	LOC101928581								
Interval_13584	chr15	80696476	80696709	+	0	NA	intron (ABHD17C, intron 1 of 2)	NA	1281	ABHD17C								
Interval_5676	chr10	110651738	110651982	+	0	NA	intron (RBM20, intron 1 of 13)	NA	7463	RBM20								
