PeakID (cmd=annotatePeaks.pl P31FUJ_4_776_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
P31FUJ_4_776_R1_peak_16855	chr2	73386346	73386765	+	41	NA	intron (ALMS1, intron 1 of 22)	NA	797	ALMS1								
P31FUJ_4_776_R1_peak_4140	chr10	96651497	96651997	+	41	NA	intron (PIK3AP1, intron 3 of 15)	NA	17864	PIK3AP1								
P31FUJ_4_776_R1_peak_9750	chr14	88832392	88832731	+	41	NA	intron (TTC8, intron 1 of 12)	NA	8408	TTC8								
P31FUJ_4_776_R1_peak_10242	chr15	48877483	48877898	+	41	NA	promoter-TSS (SHC4)	NA	-403	EID1								
P31FUJ_4_776_R1_peak_10616	chr15	73303908	73304229	+	41	NA	exon (NEO1, exon 29 of 29)	NA	65196	HCN4								
P31FUJ_4_776_R1_peak_28788	chr8	133902905	133903211	+	41	NA	TTS (RP11-157E21.1)	NA	16562	RP11-157E21.1								
P31FUJ_4_776_R1_peak_29196	chr9	35729268	35729754	+	41	NA	promoter-TSS (TLN1)	NA	-2809	CREB3								
P31FUJ_4_776_R1_peak_11983	chr16	72927352	72927719	+	41	NA	intron (ZFHX3, intron 3 of 9)	NA	-120370	LOC102723853								
P31FUJ_4_776_R1_peak_10141	chr15	41231285	41231746	+	41	NA	promoter-TSS (EXD1)	NA	372	CHP1								
P31FUJ_4_776_R1_peak_4324	chr10	110137352	110137762	+	41	NA	Intergenic	NA	-88447	MXI1								
P31FUJ_4_776_R1_peak_2172	chr1	172662254	172662796	+	41	NA	intron (FASLG, intron 2 of 3)	NA	3480	FASLG								
P31FUJ_4_776_R1_peak_19362	chr21	33641305	33641608	+	41	NA	promoter-TSS (ITSN1)	NA	398	CRYZL1								
P31FUJ_4_776_R1_peak_21372	chr3	121998423	121998803	+	41	NA	intron (ILDR1, intron 3 of 5)	NA	10213	LOC101927010								
P31FUJ_4_776_R1_peak_19423	chr21	37258443	37258833	+	41	NA	intron (DSCR3, intron 1 of 7)	NA	9486	DSCR3								
P31FUJ_4_776_R1_peak_24021	chr5	133457203	133457602	+	41	NA	intron (FSTL4, intron 3 of 15)	NA	-29765	MIR1289-2								
P31FUJ_4_776_R1_peak_23997	chr5	132438329	132438613	+	41	NA	intron (C5orf56, intron 2 of 3)	NA	-11694	LOC102723741								
P31FUJ_4_776_R1_peak_5070	chr11	46118300	46119219	+	41	NA	exon (PHF21A, exon 2 of 19)	NA	1076	PHF21A								
P31FUJ_4_776_R1_peak_3771	chr10	70576588	70576922	+	41	NA	Intergenic	NA	26020	PRF1								
P31FUJ_4_776_R1_peak_1982	chr1	159781023	159781756	+	41	NA	intron (DUSP23, intron 2 of 2)	NA	420	DUSP23								
P31FUJ_4_776_R1_peak_23253	chr5	32232800	32233187	+	41	NA	exon (MTMR12, exon 16 of 17)	NA	-58674	GOLPH3								
P31FUJ_4_776_R1_peak_19200	chr20	63981156	63981635	+	41	NA	intron (PRPF6, intron 1 of 20)	NA	317	PRPF6								
P31FUJ_4_776_R1_peak_17765	chr2	187585575	187586291	+	41	NA	Intergenic	NA	-65320	TFPI								
P31FUJ_4_776_R1_peak_4843	chr11	14499034	14499364	+	41	NA	intron (COPB1, intron 1 of 21)	NA	670	COPB1								
P31FUJ_4_776_R1_peak_9711	chr14	81164505	81165381	+	41	NA	intron (LOC101928431, intron 2 of 3)	NA	1306	LOC101928431								
P31FUJ_4_776_R1_peak_8001	chr13	24250722	24251077	+	41	NA	intron (SPATA13, intron 3 of 12)	NA	3540	SPATA13-AS1								
P31FUJ_4_776_R1_peak_5779	chr11	94579262	94579564	+	41	NA	intron (PIWIL4, intron 4 of 19)	NA	12105	PIWIL4								
P31FUJ_4_776_R1_peak_3791	chr10	71694234	71694676	+	41	NA	intron (CDH23, intron 21 of 25)	NA	25366	C10orf105								
P31FUJ_4_776_R1_peak_25987	chr6	125014195	125014553	+	41	NA	intron (RNF217, intron 3 of 8)	NA	31010	RNF217								
P31FUJ_4_776_R1_peak_11632	chr16	46712176	46712961	+	41	NA	intron (MYLK3, intron 10 of 12)	NA	22922	ORC6								
P31FUJ_4_776_R1_peak_14496	chr19	3552194	3553431	+	41	NA	intron (MFSD12, intron 1 of 9)	NA	4767	MFSD12								
P31FUJ_4_776_R1_peak_11376	chr16	20899612	20900149	+	41	NA	promoter-TSS (LYRM1)	NA	359	DCUN1D3								
P31FUJ_4_776_R1_peak_14268	chr18	63890696	63891028	+	41	NA	intron (SERPINB2, intron 2 of 8)	NA	3157	SERPINB2								
P31FUJ_4_776_R1_peak_15591	chr19	48330548	48330960	+	41	NA	TTS (EMP3)	NA	5382	EMP3								
P31FUJ_4_776_R1_peak_17740	chr2	181696839	181697701	+	41	NA	Intergenic	NA	-16605	NEUROD1								
P31FUJ_4_776_R1_peak_17028	chr2	97664357	97664814	+	41	NA	promoter-TSS (ACTR1B)	NA	-617	ACTR1B								
P31FUJ_4_776_R1_peak_3085	chr1	243713057	243713382	+	41	NA	intron (AKT3, intron 2 of 13)	NA	137860	AKT3								
P31FUJ_4_776_R1_peak_22305	chr4	15808842	15809744	+	41	NA	intron (CD38, intron 1 of 5)	NA	30995	CD38								
P31FUJ_4_776_R1_peak_23333	chr5	40356714	40357026	+	41	NA	Intergenic	NA	304579	LINC00603								
P31FUJ_4_776_R1_peak_22469	chr4	40682492	40682814	+	41	NA	Intergenic	NA	-67244	NSUN7								
P31FUJ_4_776_R1_peak_4410	chr10	118394758	118395383	+	41	NA	Intergenic	NA	37962	LINC00867								
P31FUJ_4_776_R1_peak_15074	chr19	19899980	19900649	+	41	NA	promoter-TSS (ZNF93)	NA	-599	ZNF93								
P31FUJ_4_776_R1_peak_14211	chr18	59899427	59899882	+	41	NA	promoter-TSS (PMAIP1)	NA	-306	PMAIP1								
P31FUJ_4_776_R1_peak_3249	chr10	11176116	11176913	+	41	NA	intron (CELF2, intron 2 of 12)	NA	-71026	CELF2-AS2								
P31FUJ_4_776_R1_peak_23749	chr5	96288334	96288710	+	41	NA	intron (CTD-2337A12.1, intron 1 of 2)	NA	124463	PCSK1								
P31FUJ_4_776_R1_peak_27017	chr7	80634782	80635201	+	41	NA	intron (CD36, intron 1 of 14)	NA	-11455	CD36								
P31FUJ_4_776_R1_peak_23042	chr4	139301564	139302471	+	41	NA	promoter-TSS (NDUFC1)	NA	495	NAA15								
P31FUJ_4_776_R1_peak_12083	chr16	84827024	84827669	+	41	NA	intron (CRISPLD2, intron 1 of 14)	NA	7365	CRISPLD2								
P31FUJ_4_776_R1_peak_22280	chr4	15376067	15376552	+	41	NA	intron (C1QTNF7, intron 1 of 2)	NA	36373	C1QTNF7								
P31FUJ_4_776_R1_peak_11434	chr16	23881078	23881637	+	41	NA	intron (PRKCB, intron 2 of 16)	NA	45378	PRKCB								
P31FUJ_4_776_R1_peak_5793	chr11	95363403	95364140	+	41	NA	Intergenic	NA	-131230	SESN3								
P31FUJ_4_776_R1_peak_3075	chr1	243255260	243255731	+	41	NA	promoter-TSS (SDCCAG8)	NA	487	CEP170								
P31FUJ_4_776_R1_peak_19398	chr21	35205042	35205442	+	41	NA	Intergenic	NA	-165816	RUNX1-IT1								
P31FUJ_4_776_R1_peak_21851	chr3	172074271	172074715	+	41	NA	intron (FNDC3B, intron 1 of 25)	NA	34865	FNDC3B								
P31FUJ_4_776_R1_peak_1218	chr1	71414632	71415222	+	41	NA	intron (NEGR1, intron 6 of 6)	NA	333603	ZRANB2-AS2								
P31FUJ_4_776_R1_peak_8998	chr13	114340679	114341071	+	41	NA	Intergenic	NA	-2066	LOC102723647								
P31FUJ_4_776_R1_peak_24967	chr6	16344153	16344796	+	41	NA	intron (ATXN1, intron 7 of 8)	NA	105894	GMPR								
P31FUJ_4_776_R1_peak_4200	chr10	100341149	100341596	+	41	NA	Intergenic	NA	-5643	SCD								
P31FUJ_4_776_R1_peak_21392	chr3	122384471	122384754	+	41	NA	intron (FAM162A, intron 1 of 4)	NA	436	FAM162A								
P31FUJ_4_776_R1_peak_2069	chr1	162069199	162069484	+	41	NA	promoter-TSS (NOS1AP)	NA	-450	NOS1AP								
P31FUJ_4_776_R1_peak_19874	chr22	31662518	31662800	+	41	NA	promoter-TSS (PISD)	NA	-31825	PISD								
P31FUJ_4_776_R1_peak_8634	chr13	78138807	78139253	+	41	NA	intron (RNF219-AS1, intron 1 of 5)	NA	84175	RNF219-AS1								
P31FUJ_4_776_R1_peak_15122	chr19	33153569	33154155	+	41	NA	intron (WDR88, intron 6 of 7)	NA	21819	WDR88								
P31FUJ_4_776_R1_peak_24571	chr5	177472513	177473121	+	41	NA	promoter-TSS (DBN1)	NA	823	DBN1								
P31FUJ_4_776_R1_peak_12313	chr17	3801251	3801612	+	41	NA	promoter-TSS (ITGAE)	NA	-188	ITGAE								
P31FUJ_4_776_R1_peak_15849	chr19	56140506	56140950	+	41	NA	promoter-TSS (ZNF444)	NA	-438	ZNF444								
P31FUJ_4_776_R1_peak_11128	chr16	2268565	2269167	+	41	NA	promoter-TSS (RNPS1)	NA	-1529	RNPS1								
P31FUJ_4_776_R1_peak_2985	chr1	234528057	234528472	+	41	NA	exon (RP5-855F14.1, exon 3 of 3)	NA	3515	RP5-855F14.1								
P31FUJ_4_776_R1_peak_24199	chr5	142827451	142827774	+	41	NA	intron (ARHGAP26, intron 1 of 22)	NA	41298	ARHGAP26-AS1								
P31FUJ_4_776_R1_peak_26864	chr7	69685348	69685672	+	41	NA	intron (AUTS2, intron 1 of 18)	NA	86591	AUTS2								
P31FUJ_4_776_R1_peak_26147	chr6	137909398	137910031	+	41	NA	Intergenic	NA	38301	TNFAIP3								
P31FUJ_4_776_R1_peak_25884	chr6	109702597	109703057	+	41	NA	intron (FIG4, intron 1 of 20)	NA	11606	FIG4								
P31FUJ_4_776_R1_peak_12976	chr17	42679494	42679881	+	41	NA	promoter-TSS (CNTNAP1)	NA	2140	CCR10								
P31FUJ_4_776_R1_peak_14841	chr19	13784715	13785001	+	41	NA	Intergenic	NA	10415	C19orf53								
P31FUJ_4_776_R1_peak_9064	chr14	22074246	22074584	+	41	NA	Intergenic	NA	404479	LOC102724753								
P31FUJ_4_776_R1_peak_16100	chr2	20424419	20424885	+	41	NA	Intergenic	NA	-22422	RHOB								
P31FUJ_4_776_R1_peak_26831	chr7	65753254	65754218	+	41	NA	intron (CCT6P1, intron 1 of 11)	NA	-1790	SNORA22								
P31FUJ_4_776_R1_peak_16725	chr2	68364680	68365085	+	41	NA	promoter-TSS (PLEK)	NA	-308	PLEK								
P31FUJ_4_776_R1_peak_24886	chr6	13614492	13615092	+	41	NA	promoter-TSS (NOL7)	NA	-535	NOL7								
P31FUJ_4_776_R1_peak_13137	chr17	49393711	49394143	+	41	NA	Intergenic	NA	20931	PHB								
P31FUJ_4_776_R1_peak_3591	chr10	46296895	46297227	+	41	NA	intron (ANTXRL, intron 5 of 16)	NA	10064	ANTXRL								
P31FUJ_4_776_R1_peak_24126	chr5	140107839	140108323	+	41	NA	promoter-TSS (LINC01024)	NA	-69	LINC01024								
P31FUJ_4_776_R1_peak_5775	chr11	94558197	94558505	+	41	NA	Intergenic	NA	-8957	PIWIL4								
P31FUJ_4_776_R1_peak_3209	chr10	6924033	6924411	+	41	NA	Intergenic	NA	144624	LINC00707								
P31FUJ_4_776_R1_peak_2688	chr1	209749964	209750451	+	41	NA	Intergenic	NA	-18281	TRAF3IP3								
P31FUJ_4_776_R1_peak_21376	chr3	122092037	122092329	+	41	NA	intron (CD86, intron 2 of 5)	NA	14334	CD86								
P31FUJ_4_776_R1_peak_4264	chr10	102646603	102646962	+	41	NA	intron (TRIM8, intron 1 of 4)	NA	3357	TRIM8								
P31FUJ_4_776_R1_peak_8175	chr13	32075315	32075616	+	41	NA	intron (FRY, intron 1 of 62)	NA	-43826	FRY-AS1								
P31FUJ_4_776_R1_peak_29444	chr9	88324933	88325393	+	41	NA	Intergenic	NA	-63219	SPIN1								
P31FUJ_4_776_R1_peak_4583	chr11	822402	823002	+	41	NA	intron (PNPLA2, intron 5 of 8)	NA	3132	PNPLA2								
P31FUJ_4_776_R1_peak_1080	chr1	56505894	56506290	+	41	NA	intron (PPAP2B, intron 5 of 5)	NA	66236	LOC102724140								
P31FUJ_4_776_R1_peak_579	chr1	30783886	30784290	+	41	NA	Intergenic	NA	-26252	LAPTM5								
P31FUJ_4_776_R1_peak_14251	chr18	63214054	63214406	+	41	NA	intron (BCL2, intron 2 of 2)	NA	105150	BCL2								
P31FUJ_4_776_R1_peak_29369	chr9	77945118	77945649	+	41	NA	intron (GNAQ, intron 1 of 6)	NA	86066	GNAQ								
P31FUJ_4_776_R1_peak_81	chr1	7771595	7772048	+	41	NA	intron (VAMP3, intron 1 of 4)	NA	552	VAMP3								
P31FUJ_4_776_R1_peak_4406	chr10	117454069	117454532	+	41	NA	intron (LOC101927731, intron 2 of 2)	NA	16757	LOC101927731								
P31FUJ_4_776_R1_peak_29596	chr9	98104622	98104990	+	41	NA	intron (TRIM14, intron 2 of 6)	NA	6257	TRIM14								
P31FUJ_4_776_R1_peak_18288	chr20	2207366	2208110	+	41	NA	intron (LOC388780, intron 1 of 1)	NA	810	LOC388780								
P31FUJ_4_776_R1_peak_11536	chr16	30371267	30371699	+	41	NA	Intergenic	NA	-1282	TBC1D10B								
P31FUJ_4_776_R1_peak_2818	chr1	224540496	224540818	+	41	NA	Intergenic	NA	-6204	CNIH3								
P31FUJ_4_776_R1_peak_12631	chr17	28335843	28336514	+	41	NA	promoter-TSS (IFT20)	NA	656	TNFAIP1								
P31FUJ_4_776_R1_peak_19835	chr22	29602915	29603262	+	41	NA	promoter-TSS (NF2)	NA	-468	NF2								
P31FUJ_4_776_R1_peak_9596	chr14	73758031	73758462	+	41	NA	promoter-TSS (MIR4505)	NA	-503	MIR4505								
P31FUJ_4_776_R1_peak_1202	chr1	70003002	70003480	+	41	NA	intron (LRRC7, intron 11 of 25)	NA	83919	PIN1P1								
P31FUJ_4_776_R1_peak_1791	chr1	151399064	151399373	+	41	NA	promoter-TSS (PSMB4)	NA	-347	PSMB4								
P31FUJ_4_776_R1_peak_28551	chr8	107497307	107497706	+	41	NA	exon (ANGPT1, exon 1 of 9)	NA	520	ANGPT1								
P31FUJ_4_776_R1_peak_761	chr1	38847730	38848215	+	41	NA	intron (RRAGC, intron 5 of 6)	NA	11851	RRAGC								
P31FUJ_4_776_R1_peak_14659	chr19	8413484	8413798	+	41	NA	promoter-TSS (MARCH2)	NA	-5137	MARCH2								
P31FUJ_4_776_R1_peak_22441	chr4	39527773	39528226	+	41	NA	promoter-TSS (UGDH)	NA	160	UGDH-AS1								
P31FUJ_4_776_R1_peak_6819	chr12	47207995	47208512	+	41	NA	TTS (PCED1B-AS1)	NA	8190	PCED1B-AS1								
P31FUJ_4_776_R1_peak_2494	chr1	201310753	201311082	+	41	NA	intron (PKP1, intron 2 of 14)	NA	27465	PKP1								
P31FUJ_4_776_R1_peak_1079	chr1	55244437	55245181	+	41	NA	Intergenic	NA	19168	MIR4422								
P31FUJ_4_776_R1_peak_14572	chr19	6087053	6087479	+	41	NA	intron (RFX2, intron 1 of 17)	NA	19313	LOC101928872								
P31FUJ_4_776_R1_peak_19877	chr22	31754006	31754385	+	41	NA	promoter-TSS (DEPDC5)	NA	244	DEPDC5								
P31FUJ_4_776_R1_peak_4340	chr10	110498496	110499145	+	41	NA	intron (DUSP5, intron 1 of 3)	NA	953	DUSP5								
P31FUJ_4_776_R1_peak_11064	chr16	401967	402306	+	41	NA	intron (DECR2, intron 1 of 8)	NA	278	DECR2								
P31FUJ_4_776_R1_peak_16937	chr2	85500881	85501254	+	41	NA	Intergenic	NA	37819	LOC100630918								
P31FUJ_4_776_R1_peak_27507	chr7	130432712	130434116	+	41	NA	intron (CEP41, intron 1 of 9)	NA	7796	CEP41								
P31FUJ_4_776_R1_peak_29889	chr9	124219589	124220149	+	41	NA	Intergenic	NA	-66419	NEK6								
P31FUJ_4_776_R1_peak_21962	chr3	184812168	184812777	+	41	NA	promoter-TSS (VPS8)	NA	329	VPS8								
P31FUJ_4_776_R1_peak_2055	chr1	161530594	161531062	+	41	NA	promoter-TSS (TRNAG8)	NA	-285	TRNAG8								
P31FUJ_4_776_R1_peak_16212	chr2	28084483	28084775	+	41	NA	intron (BRE, intron 6 of 12)	NA	88207	MIR4263								
P31FUJ_4_776_R1_peak_21035	chr3	52871995	52872328	+	41	NA	intron (TMEM110-MUSTN1, intron 1 of 9)	NA	25420	TMEM110								
P31FUJ_4_776_R1_peak_10258	chr15	50052225	50052538	+	41	NA	intron (ATP8B4, intron 3 of 26)	NA	58136	ATP8B4								
P31FUJ_4_776_R1_peak_25053	chr6	26364032	26364938	+	41	NA	promoter-TSS (BTN3A2)	NA	-711	BTN3A2								
P31FUJ_4_776_R1_peak_11441	chr16	24730138	24730444	+	41	NA	exon (TNRC6A, exon 2 of 24)	NA	-48037	TNRC6A								
P31FUJ_4_776_R1_peak_22063	chr3	195104385	195104695	+	41	NA	intron (XXYLT1, intron 3 of 3)	NA	9952	XXYLT1-AS1								
P31FUJ_4_776_R1_peak_8481	chr13	51370474	51370850	+	41	NA	intron (INTS6, intron 14 of 16)	NA	-22023	MIR5693								
P31FUJ_4_776_R1_peak_3394	chr10	28087560	28088034	+	41	NA	intron (MPP7, intron 14 of 18)	NA	-88789	ARMC4								
P31FUJ_4_776_R1_peak_23281	chr5	35851850	35852433	+	41	NA	Intergenic	NA	-4749	IL7R								
P31FUJ_4_776_R1_peak_10910	chr15	90648288	90648596	+	41	NA	intron (LOC101926895, intron 2 of 2)	NA	-11792	RP11-387D10.3								
P31FUJ_4_776_R1_peak_1096	chr1	58895139	58895665	+	41	NA	intron (LINC01135, intron 2 of 2)	NA	80983	LOC101926907								
P31FUJ_4_776_R1_peak_29817	chr9	120728870	120729659	+	41	NA	Intergenic	NA	-14777	MEGF9								
P31FUJ_4_776_R1_peak_24722	chr6	3338848	3339494	+	41	NA	intron (SLC22A23, intron 3 of 9)	NA	-15016	SLC22A23								
P31FUJ_4_776_R1_peak_8820	chr13	99488754	99489103	+	41	NA	Intergenic	NA	-12446	TM9SF2								
P31FUJ_4_776_R1_peak_18990	chr20	50516934	50517596	+	41	NA	intron (PTPN1, intron 1 of 8)	NA	6944	PTPN1								
P31FUJ_4_776_R1_peak_29075	chr9	21031138	21031554	+	41	NA	intron (PTPLAD2, intron 1 of 6)	NA	290	PTPLAD2								
P31FUJ_4_776_R1_peak_12513	chr17	15927602	15928016	+	41	NA	Intergenic	NA	-17108	ADORA2B								
P31FUJ_4_776_R1_peak_28400	chr8	93884781	93885248	+	41	NA	Intergenic	NA	31105	MIR378D2								
P31FUJ_4_776_R1_peak_7125	chr12	56991132	56991517	+	41	NA	Intergenic	NA	-3247	GPR182								
P31FUJ_4_776_R1_peak_12803	chr17	36085243	36085658	+	41	NA	intron (LOC102724850, intron 2 of 2)	NA	4710	CCL3								
P31FUJ_4_776_R1_peak_30037	chr9	128881051	128881889	+	41	NA	promoter-TSS (LRRC8A)	NA	488	CCBL1								
P31FUJ_4_776_R1_peak_25908	chr6	110816400	110816956	+	41	NA	promoter-TSS (CDK19)	NA	-1293	CDK19								
P31FUJ_4_776_R1_peak_17621	chr2	171433479	171433891	+	41	NA	promoter-TSS (DCAF17)	NA	1117	METTL8								
P31FUJ_4_776_R1_peak_22017	chr3	189276551	189277341	+	41	NA	intron (TPRG1, intron 9 of 10)	NA	-36352	TPRG1-AS2								
P31FUJ_4_776_R1_peak_13900	chr18	9743839	9744121	+	41	NA	intron (RAB31, intron 1 of 6)	NA	35749	RAB31								
P31FUJ_4_776_R1_peak_20362	chr3	11366073	11366560	+	41	NA	intron (ATG7, intron 16 of 17)	NA	93992	ATG7								
P31FUJ_4_776_R1_peak_22506	chr4	47719556	47719838	+	41	NA	intron (CORIN, intron 5 of 13)	NA	67018	MIR8053								
P31FUJ_4_776_R1_peak_21178	chr3	72176842	72177125	+	41	NA	Intergenic	NA	25726	LINC00870								
P31FUJ_4_776_R1_peak_19467	chr21	39369819	39370389	+	41	NA	Intergenic	NA	-10354	WRB								
P31FUJ_4_776_R1_peak_12281	chr17	2191375	2192430	+	41	NA	intron (SMG6, intron 2 of 10)	NA	-40559	LOC101927839								
P31FUJ_4_776_R1_peak_10475	chr15	64836165	64836550	+	41	NA	Intergenic	NA	-5526	PLEKHO2								
P31FUJ_4_776_R1_peak_9759	chr14	89459330	89459739	+	41	NA	intron (FOXN3, intron 1 of 6)	NA	42180	FOXN3-AS1								
P31FUJ_4_776_R1_peak_18941	chr20	48872933	48873538	+	41	NA	Intergenic	NA	-48478	ARFGEF2								
P31FUJ_4_776_R1_peak_18657	chr20	32606014	32606658	+	41	NA	intron (LOC149950, intron 2 of 2)	NA	18857	LOC149950								
P31FUJ_4_776_R1_peak_25685	chr6	81938580	81938931	+	41	NA	promoter-TSS (LOC102724168)	NA	-334	LOC102724168								
P31FUJ_4_776_R1_peak_3549	chr10	44962660	44963328	+	41	NA	intron (RASSF4, intron 1 of 10)	NA	3223	RASSF4								
P31FUJ_4_776_R1_peak_1691	chr1	145964014	145964569	+	41	NA	promoter-TSS (POLR3GL)	NA	-1336	ANKRD34A								
P31FUJ_4_776_R1_peak_24987	chr6	20204143	20204628	+	41	NA	intron (MBOAT1, intron 1 of 12)	NA	-7727	LOC101928573								
P31FUJ_4_776_R1_peak_17802	chr2	191065209	191065776	+	41	NA	intron (STAT4, intron 7 of 23)	NA	-51295	STAT1								
P31FUJ_4_776_R1_peak_16968	chr2	86195714	86195998	+	41	NA	promoter-TSS (IMMT)	NA	-418	IMMT								
P31FUJ_4_776_R1_peak_4829	chr11	13337766	13338294	+	41	NA	intron (ARNTL, intron 3 of 19)	NA	60252	ARNTL								
P31FUJ_4_776_R1_peak_18693	chr20	34619094	34619505	+	41	NA	intron (PIGU, intron 6 of 11)	NA	57986	PIGU								
P31FUJ_4_776_R1_peak_15510	chr19	45418933	45419532	+	41	NA	intron (ERCC1, intron 4 of 8)	NA	5135	ERCC1								
P31FUJ_4_776_R1_peak_9917	chr14	101731573	101732264	+	41	NA	exon (LINC00239, exon 3 of 4)	NA	1481	LINC00239								
P31FUJ_4_776_R1_peak_10550	chr15	67841203	67841508	+	41	NA	Intergenic	NA	-1310	RNU6-1								
P31FUJ_4_776_R1_peak_5979	chr11	118227054	118227336	+	41	NA	exon (MPZL3, exon 3 of 3)	NA	-13836	AMICA1								
P31FUJ_4_776_R1_peak_16952	chr2	85672942	85673473	+	41	NA	Intergenic	NA	-4988	SFTPB								
P31FUJ_4_776_R1_peak_7280	chr12	69238951	69239287	+	41	NA	promoter-TSS (CPSF6)	NA	-418	CPSF6								
P31FUJ_4_776_R1_peak_6029	chr11	119712864	119713326	+	41	NA	intron (PVRL1, intron 1 of 5)	NA	15630	PVRL1								
P31FUJ_4_776_R1_peak_19704	chr22	21940227	21940777	+	41	NA	intron (PPM1F, intron 2 of 7)	NA	12376	PPM1F								
P31FUJ_4_776_R1_peak_6639	chr12	22543405	22544574	+	41	NA	intron (C2CD5, intron 2 of 27)	NA	-37216	C2CD5								
P31FUJ_4_776_R1_peak_9514	chr14	69050566	69051115	+	41	NA	TTS (DCAF5)	NA	71158	ACTN1-AS1								
P31FUJ_4_776_R1_peak_16650	chr2	64273740	64274318	+	41	NA	Intergenic	NA	45598	AC074289.1								
P31FUJ_4_776_R1_peak_30073	chr9	129805463	129806035	+	41	NA	intron (TOR1B, intron 2 of 4)	NA	2600	TOR1B								
P31FUJ_4_776_R1_peak_5977	chr11	118215443	118216104	+	41	NA	promoter-TSS (AMICA1)	NA	-2414	AMICA1								
P31FUJ_4_776_R1_peak_8822	chr13	99498944	99499459	+	41	NA	Intergenic	NA	-2173	TM9SF2								
P31FUJ_4_776_R1_peak_1984	chr1	159829019	159829329	+	41	NA	intron (SLAMF8, intron 1 of 3)	NA	2524	SLAMF8								
P31FUJ_4_776_R1_peak_3271	chr10	14559918	14560228	+	41	NA	intron (FAM107B, intron 2 of 5)	NA	12116	FAM107B								
P31FUJ_4_776_R1_peak_20147	chr22	45163098	45163766	+	41	NA	promoter-TSS (NUP50)	NA	349	LOC100506714								
P31FUJ_4_776_R1_peak_30489	chrX	41442750	41443224	+	41	NA	Intergenic	NA	-4473	NYX								
P31FUJ_4_776_R1_peak_26695	chr7	41873205	41873698	+	41	NA	Intergenic	NA	-170343	INHBA								
P31FUJ_4_776_R1_peak_10881	chr15	90003734	90004268	+	41	NA	intron (ZNF710, intron 1 of 3)	NA	1589	ZNF710								
P31FUJ_4_776_R1_peak_4592	chr11	1335401	1335832	+	41	NA	Intergenic	NA	25908	TOLLIP-AS1								
P31FUJ_4_776_R1_peak_3951	chr10	79068497	79068803	+	41	NA	promoter-TSS (ZMIZ1)	NA	-344	ZMIZ1								
P31FUJ_4_776_R1_peak_28233	chr8	60916848	60917312	+	41	NA	Intergenic	NA	32094	LOC101929576								
P31FUJ_4_776_R1_peak_19317	chr21	32772298	32772797	+	41	NA	promoter-TSS (PAXBP1)	NA	447	C21orf49								
P31FUJ_4_776_R1_peak_27493	chr7	129616082	129616555	+	41	NA	intron (NRF1, intron 1 of 10)	NA	4604	NRF1								
P31FUJ_4_776_R1_peak_7422	chr12	94176086	94176871	+	41	NA	intron (PLXNC1, intron 2 of 30)	NA	27755	PLXNC1								
P31FUJ_4_776_R1_peak_18755	chr20	36836922	36837474	+	41	NA	intron (SOGA1, intron 2 of 14)	NA	26486	SOGA1								
P31FUJ_4_776_R1_peak_1699	chr1	146037458	146037801	+	41	NA	promoter-TSS (TRNAH4)	NA	-415	TRNAH4								
P31FUJ_4_776_R1_peak_19085	chr20	59041908	59042682	+	41	NA	intron (SLMO2, intron 1 of 4)	NA	551	SLMO2-ATP5E								
P31FUJ_4_776_R1_peak_17462	chr2	148553012	148553471	+	41	NA	Intergenic	NA	-190381	EPC2								
P31FUJ_4_776_R1_peak_22363	chr4	32163528	32164061	+	41	NA	Intergenic	NA	-61299	LOC102723846								
P31FUJ_4_776_R1_peak_16797	chr2	69945191	69945474	+	41	NA	Intergenic	NA	16933	ASPRV1								
P31FUJ_4_776_R1_peak_27287	chr7	104962312	104962614	+	41	NA	TTS (LOC101927902)	NA	21507	LOC101927902								
P31FUJ_4_776_R1_peak_27040	chr7	82617015	82617600	+	41	NA	Intergenic	NA	545574	PCLO								
P31FUJ_4_776_R1_peak_6655	chr12	26247684	26248317	+	41	NA	Intergenic	NA	-33223	LOC101928554								
P31FUJ_4_776_R1_peak_9425	chr14	63642115	63642403	+	41	NA	promoter-TSS (WDR89)	NA	-336	WDR89								
P31FUJ_4_776_R1_peak_24481	chr5	171865060	171866510	+	41	NA	intron (FBXW11, intron 11 of 11)	NA	50674	FBXW11								
P31FUJ_4_776_R1_peak_2274	chr1	181506143	181506732	+	41	NA	intron (CACNA1E, intron 1 of 47)	NA	22887	CACNA1E								
P31FUJ_4_776_R1_peak_10304	chr15	51580944	51581236	+	41	NA	intron (DMXL2, intron 1 of 43)	NA	41743	DMXL2								
P31FUJ_4_776_R1_peak_10038	chr15	31359722	31360096	+	41	NA	intron (KLF13, intron 1 of 1)	NA	33029	KLF13								
P31FUJ_4_776_R1_peak_24004	chr5	132467148	132467844	+	41	NA	intron (C5orf56, intron 3 of 3)	NA	23277	IRF1								
P31FUJ_4_776_R1_peak_5691	chr11	78139910	78140243	+	41	NA	promoter-TSS (ALG8)	NA	283	KCTD21-AS1								
