PeakID (cmd=annotatePeaks.pl UT7_3_187_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
UT7_3_187_R1_peak_3380	chr1	198776469	198776678	+	36	NA	Intergenic	NA	82334	MIR181B1								
UT7_3_187_R1_peak_126	chr1	3751168	3751470	+	36	NA	Intergenic	NA	-1082	CCDC27								
UT7_3_187_R1_peak_32503	chr6	116450894	116451155	+	36	NA	Intergenic	NA	-10836	FAM26F								
UT7_3_187_R1_peak_2150	chr1	109979201	109979392	+	36	NA	Intergenic	NA	-21631	AHCYL1								
UT7_3_187_R1_peak_13040	chr15	92846032	92846223	+	36	NA	Intergenic	NA	-36716	LOC100507217								
UT7_3_187_R1_peak_23232	chr20	38152078	38152461	+	36	NA	intron (TGM2, intron 3 of 9)	NA	13029	TGM2								
UT7_3_187_R1_peak_15982	chr17	50378538	50378732	+	36	NA	exon (EME1, exon 4 of 9)	NA	5381	EME1								
UT7_3_187_R1_peak_31050	chr6	20688903	20689096	+	36	NA	intron (CDKAL1, intron 5 of 15)	NA	154542	CDKAL1								
UT7_3_187_R1_peak_30198	chr5	154277313	154277504	+	36	NA	intron (GALNT10, intron 1 of 11)	NA	-69698	MIR1294								
UT7_3_187_R1_peak_2563	chr1	153568165	153568550	+	36	NA	Intergenic	NA	-2527	S100A2								
UT7_3_187_R1_peak_23059	chr20	33400659	33400894	+	36	NA	intron (CDK5RAP1, intron 1 of 13)	NA	793	CDK5RAP1								
UT7_3_187_R1_peak_5117	chr10	79135188	79135379	+	36	NA	intron (ZMIZ1, intron 2 of 23)	NA	66289	ZMIZ1								
UT7_3_187_R1_peak_16222	chr17	64008733	64008956	+	36	NA	intron (ICAM2, intron 1 of 5)	NA	-1921	ICAM2								
UT7_3_187_R1_peak_4060	chr1	234976252	234976657	+	36	NA	Intergenic	NA	93364	LOC731656								
UT7_3_187_R1_peak_33486	chr7	16493296	16493520	+	36	NA	Intergenic	NA	-27559	SOSTDC1								
UT7_3_187_R1_peak_11115	chr14	73747726	73747968	+	36	NA	intron (ELMSAN1, intron 2 of 13)	NA	-10900	MIR4505								
UT7_3_187_R1_peak_36082	chr8	141227860	141228051	+	36	NA	intron (SLC45A4, intron 2 of 7)	NA	619	SLC45A4								
UT7_3_187_R1_peak_22618	chr20	3157880	3158071	+	36	NA	intron (FASTKD5, intron 1 of 1)	NA	1911	FASTKD5								
UT7_3_187_R1_peak_19234	chr19	46976576	46976904	+	36	NA	intron (ARHGAP35, intron 2 of 5)	NA	-44266	NPAS1								
UT7_3_187_R1_peak_12903	chr15	89665763	89666054	+	36	NA	exon (PLIN1, exon 9 of 9)	NA	-10942	KIF7								
UT7_3_187_R1_peak_8652	chr12	50574666	50574988	+	36	NA	intron (DIP2B, intron 1 of 37)	NA	69802	DIP2B								
UT7_3_187_R1_peak_17345	chr18	79527141	79527442	+	36	NA	intron (NFATC1, intron 9 of 9)	NA	-3945	LOC102723506								
UT7_3_187_R1_peak_536	chr1	21896608	21896950	+	36	NA	intron (HSPG2, intron 1 of 101)	NA	24134	LOC102723558								
UT7_3_187_R1_peak_36624	chr9	33107047	33107238	+	36	NA	Intergenic	NA	-30426	SMU1								
UT7_3_187_R1_peak_25447	chr22	46653149	46653351	+	36	NA	intron (GRAMD4, intron 3 of 17)	NA	77233	GRAMD4								
UT7_3_187_R1_peak_16496	chr17	76269271	76269524	+	36	NA	intron (UBALD2, intron 2 of 2)	NA	4192	UBALD2								
UT7_3_187_R1_peak_25973	chr3	37154754	37155086	+	36	NA	intron (LRRFIP2, intron 2 of 29)	NA	19685	LRRFIP2								
UT7_3_187_R1_peak_29544	chr5	80183158	80183406	+	36	NA	intron (SERINC5, intron 2 of 12)	NA	72797	SERINC5								
UT7_3_187_R1_peak_33108	chr6	157861831	157862169	+	36	NA	intron (SNX9, intron 1 of 17)	NA	-139107	SYNJ2-IT1								
UT7_3_187_R1_peak_32816	chr6	139568531	139568777	+	36	NA	Intergenic	NA	-94058	RP11-12A2.3								
UT7_3_187_R1_peak_8811	chr12	54291857	54292048	+	36	NA	TTS (NFE2)	NA	9085	NFE2								
UT7_3_187_R1_peak_18575	chr19	32693830	32694031	+	36	NA	intron (NUDT19, intron 1 of 2)	NA	18523	RGS9BP								
UT7_3_187_R1_peak_12878	chr15	89094211	89094502	+	36	NA	intron (ABHD2, intron 2 of 14)	NA	-10168	ABHD2								
UT7_3_187_R1_peak_4185	chr1	246426453	246426712	+	36	NA	intron (SMYD3, intron 1 of 11)	NA	97705	RP11-690C23.2								
UT7_3_187_R1_peak_30514	chr5	178313351	178313542	+	36	NA	intron (COL23A1, intron 2 of 28)	NA	-80634	PHYKPL								
UT7_3_187_R1_peak_9288	chr12	107685403	107685596	+	36	NA	promoter-TSS (PWP1)	NA	-314	PWP1								
UT7_3_187_R1_peak_19656	chr19	55006799	55007001	+	36	NA	Intergenic	NA	31364	GP6								
UT7_3_187_R1_peak_13237	chr16	1610162	1610353	+	36	NA	promoter-TSS (IFT140)	NA	447	IFT140								
UT7_3_187_R1_peak_19227	chr19	46849716	46849915	+	36	NA	intron (AP2S1, intron 1 of 3)	NA	494	AP2S1								
UT7_3_187_R1_peak_16363	chr17	74295984	74296551	+	36	NA	intron (DNAI2, intron 6 of 13)	NA	22019	DNAI2								
UT7_3_187_R1_peak_15840	chr17	46888463	46888661	+	36	NA	Intergenic	NA	-34558	GOSR2								
UT7_3_187_R1_peak_13501	chr16	11669257	11669457	+	36	NA	intron (SNN, intron 1 of 1)	NA	924	SNN								
UT7_3_187_R1_peak_19101	chr19	44851195	44851416	+	36	NA	intron (PVRL2, intron 1 of 5)	NA	5169	PVRL2								
UT7_3_187_R1_peak_25463	chr22	47124251	47124480	+	36	NA	intron (TBC1D22A, intron 12 of 12)	NA	-6130	LOC100128818								
UT7_3_187_R1_peak_893	chr1	28733904	28734142	+	36	NA	Intergenic	NA	-2598	YTHDF2								
UT7_3_187_R1_peak_7017	chr11	73154012	73154203	+	36	NA	Intergenic	NA	-12009	FCHSD2								
UT7_3_187_R1_peak_6365	chr11	57395264	57395687	+	36	NA	Intergenic	NA	-4818	PRG2								
UT7_3_187_R1_peak_14231	chr16	68081287	68081614	+	36	NA	Intergenic	NA	-3916	NFATC3								
UT7_3_187_R1_peak_21356	chr2	143132170	143132393	+	36	NA	intron (ARHGAP15, intron 1 of 13)	NA	2886	ARHGAP15								
UT7_3_187_R1_peak_849	chr1	28153129	28153324	+	36	NA	intron (PTAFR, intron 1 of 1)	NA	23718	PTAFR								
UT7_3_187_R1_peak_7854	chr12	6451114	6451315	+	36	NA	promoter-TSS (TAPBPL)	NA	303	CD27-AS1								
UT7_3_187_R1_peak_3961	chr1	231639518	231639840	+	36	NA	intron (DISC1, intron 1 of 4)	NA	12864	DISC1								
UT7_3_187_R1_peak_14191	chr16	67326559	67326812	+	36	NA	promoter-TSS (KCTD19)	NA	76	KCTD19								
UT7_3_187_R1_peak_6878	chr11	68116323	68116580	+	36	NA	intron (CHKA, intron 1 of 12)	NA	4890	CHKA								
UT7_3_187_R1_peak_4313	chr10	5450052	5450243	+	36	NA	intron (NET1, intron 1 of 9)	NA	3596	NET1								
UT7_3_187_R1_peak_25458	chr22	46816149	46816445	+	36	NA	intron (TBC1D22A, intron 4 of 12)	NA	53680	TBC1D22A								
UT7_3_187_R1_peak_33305	chr7	1894011	1894265	+	36	NA	intron (MAD1L1, intron 16 of 16)	NA	-49894	MIR4655								
UT7_3_187_R1_peak_9101	chr12	76765782	76766000	+	36	NA	intron (ZDHHC17, intron 1 of 16)	NA	1817	ZDHHC17								
UT7_3_187_R1_peak_30720	chr6	5260069	5260260	+	36	NA	promoter-TSS (FARS2)	NA	786	LYRM4								
UT7_3_187_R1_peak_782	chr1	27100185	27100376	+	36	NA	exon (SLC9A1, exon 12 of 12)	NA	54850	SLC9A1								
UT7_3_187_R1_peak_35244	chr8	47480855	47481076	+	36	NA	intron (SPIDR, intron 8 of 19)	NA	220029	SPIDR								
UT7_3_187_R1_peak_8286	chr12	32002901	32003092	+	36	NA	intron (LOC102724618, intron 1 of 2)	NA	6076	LOC102724618								
UT7_3_187_R1_peak_2121	chr1	109546591	109546874	+	36	NA	TTS (GPR61)	NA	1783	LOC101928560								
UT7_3_187_R1_peak_31663	chr6	34240749	34241023	+	36	NA	TTS (MIR6835)	NA	208	MIR6835								
UT7_3_187_R1_peak_36816	chr9	71629892	71630114	+	36	NA	Intergenic	NA	139453	TMEM2								
UT7_3_187_R1_peak_24159	chr21	37228479	37228864	+	36	NA	intron (DSCR3, intron 2 of 4)	NA	20168	DSCR9								
UT7_3_187_R1_peak_896	chr1	28784973	28785215	+	36	NA	Intergenic	NA	-27048	OPRD1								
UT7_3_187_R1_peak_4168	chr1	245673099	245673290	+	36	NA	intron (KIF26B, intron 10 of 14)	NA	282908	SMYD3								
UT7_3_187_R1_peak_6488	chr11	61817380	61817635	+	36	NA	promoter-TSS (FADS1)	NA	-450	FADS1								
UT7_3_187_R1_peak_2210	chr1	112319204	112319457	+	36	NA	Intergenic	NA	-76853	CTTNBP2NL								
UT7_3_187_R1_peak_7787	chr12	1492071	1492616	+	36	NA	exon (ERC1, exon 17 of 17)	NA	-8148	LINC00942								
UT7_3_187_R1_peak_5962	chr11	6682458	6682649	+	36	NA	intron (MRPL17, intron 2 of 2)	NA	848	MRPL17								
UT7_3_187_R1_peak_7937	chr12	7037294	7037495	+	36	NA	Intergenic	NA	-18856	LPCAT3								
UT7_3_187_R1_peak_37784	chr9	135506182	135506385	+	36	NA	exon (RP11-426A6.5, exon 1 of 3)	NA	164	RP11-426A6.5								
UT7_3_187_R1_peak_13915	chr16	30533523	30533796	+	36	NA	intron (ZNF747, intron 2 of 2)	NA	1363	ZNF747								
UT7_3_187_R1_peak_24973	chr22	36882884	36883142	+	36	NA	Intergenic	NA	22025	NCF4								
UT7_3_187_R1_peak_17084	chr18	35461608	35461814	+	36	NA	intron (INO80C, intron 4 of 4)	NA	36280	INO80C								
UT7_3_187_R1_peak_26551	chr3	60332576	60332784	+	36	NA	intron (FHIT, intron 4 of 8)	NA	33552	LOC102724718								
UT7_3_187_R1_peak_27837	chr4	4323683	4323908	+	36	NA	Intergenic	NA	33598	ZBTB49								
UT7_3_187_R1_peak_7956	chr12	7970451	7970642	+	36	NA	Intergenic	NA	-34250	SLC2A3								
UT7_3_187_R1_peak_1583	chr1	54499400	54499708	+	36	NA	Intergenic	NA	-48580	ACOT11								
UT7_3_187_R1_peak_32551	chr6	119306375	119306656	+	36	NA	intron (MAN1A1, intron 3 of 12)	NA	43251	MAN1A1								
UT7_3_187_R1_peak_18573	chr19	32690810	32691017	+	36	NA	intron (NUDT19, intron 2 of 3)	NA	15506	RGS9BP								
UT7_3_187_R1_peak_16409	chr17	75087400	75087591	+	36	NA	promoter-TSS (SLC16A5)	NA	-446	SLC16A5								
UT7_3_187_R1_peak_33253	chr7	699490	699681	+	36	NA	intron (PRKAR1B, intron 2 of 9)	NA	13622	PRKAR1B								
UT7_3_187_R1_peak_25339	chr22	42968604	42968795	+	36	NA	intron (PACSIN2, intron 1 of 9)	NA	46479	PACSIN2								
UT7_3_187_R1_peak_15650	chr17	42265591	42265782	+	36	NA	intron (STAT5B, intron 1 of 12)	NA	10720	STAT5B								
UT7_3_187_R1_peak_1308	chr1	43868403	43868630	+	36	NA	intron (ST3GAL3, intron 5 of 12)	NA	29894	MIR6079								
UT7_3_187_R1_peak_3815	chr1	226405551	226405890	+	36	NA	intron (PARP1, intron 1 of 22)	NA	2380	PARP1								
UT7_3_187_R1_peak_27713	chr3	197555983	197556192	+	36	NA	promoter-TSS (BDH1)	NA	-100	BDH1								
UT7_3_187_R1_peak_13502	chr16	11670053	11670244	+	36	NA	intron (SNN, intron 1 of 1)	NA	1715	SNN								
UT7_3_187_R1_peak_27402	chr3	179436090	179436281	+	36	NA	intron (GNB4, intron 1 of 9)	NA	15398	GNB4								
UT7_3_187_R1_peak_24229	chr21	39126573	39126764	+	36	NA	Intergenic	NA	56846	PSMG1								
UT7_3_187_R1_peak_37603	chr9	129472526	129472746	+	36	NA	Intergenic	NA	-16024	LINC00963								
UT7_3_187_R1_peak_10865	chr14	64443634	64443837	+	36	NA	intron (MTHFD1, intron 21 of 27)	NA	-21764	AKAP5								
UT7_3_187_R1_peak_12043	chr15	50547399	50547705	+	36	NA	promoter-TSS (USP50)	NA	-865	USP50								
UT7_3_187_R1_peak_16561	chr17	78202510	78202746	+	36	NA	intron (AFMID, intron 3 of 10)	NA	-11568	BIRC5								
UT7_3_187_R1_peak_2051	chr1	101309174	101309365	+	36	NA	promoter-TSS (LOC102723784)	NA	-896	LOC102723784								
UT7_3_187_R1_peak_25672	chr3	10143715	10143906	+	36	NA	intron (VHL, intron 1 of 1)	NA	2175	VHL								
UT7_3_187_R1_peak_7653	chr11	126350427	126350650	+	36	NA	intron (ST3GAL4-AS1, intron 1 of 1)	NA	5049	ST3GAL4-AS1								
UT7_3_187_R1_peak_32339	chr6	99516024	99516409	+	36	NA	promoter-TSS (USP45)	NA	-781	USP45								
UT7_3_187_R1_peak_2913	chr1	161160533	161160724	+	36	NA	exon (USP21, exon 2 of 14)	NA	1140	USP21								
UT7_3_187_R1_peak_24549	chr22	23212409	23212637	+	36	NA	intron (BCR, intron 1 of 21)	NA	32158	BCR								
UT7_3_187_R1_peak_23755	chr20	63272389	63272604	+	36	NA	promoter-TSS (ARFGAP1)	NA	-317	ARFGAP1								
UT7_3_187_R1_peak_17760	chr19	8050982	8051174	+	36	NA	Intergenic	NA	-1684	CCL25								
UT7_3_187_R1_peak_30299	chr5	169652094	169652310	+	36	NA	intron (DOCK2, intron 1 of 51)	NA	14955	DOCK2								
UT7_3_187_R1_peak_18889	chr19	40463890	40464114	+	36	NA	intron (BLVRB, intron 1 of 4)	NA	1816	BLVRB								
UT7_3_187_R1_peak_2881	chr1	160549305	160549496	+	36	NA	TTS (CD84)	NA	-26138	SLAMF6								
UT7_3_187_R1_peak_23617	chr20	56414719	56414969	+	36	NA	intron (CASS4, intron 1 of 5)	NA	3289	CASS4								
UT7_3_187_R1_peak_15845	chr17	47066814	47067061	+	36	NA	intron (LOC101927060, intron 2 of 2)	NA	33328	LOC101927060								
UT7_3_187_R1_peak_35030	chr8	30092680	30092910	+	36	NA	Intergenic	NA	-2611	LEPROTL1								
UT7_3_187_R1_peak_31254	chr6	27279730	27279921	+	36	NA	TTS (TRNAV27)	NA	517	TRNAV27								
UT7_3_187_R1_peak_8337	chr12	42098994	42099300	+	36	NA	intron (GXYLT1, intron 4 of 6)	NA	45724	GXYLT1								
UT7_3_187_R1_peak_21048	chr2	108642092	108642340	+	36	NA	intron (LIMS1, intron 1 of 10)	NA	20970	LIMS1								
UT7_3_187_R1_peak_27442	chr3	183584730	183584962	+	36	NA	Intergenic	NA	-29135	KLHL6								
UT7_3_187_R1_peak_91	chr1	2293730	2293921	+	36	NA	intron (SKI, intron 1 of 6)	NA	58836	LOC100129534								
UT7_3_187_R1_peak_2490	chr1	151009341	151009634	+	36	NA	intron (PRUNE, intron 1 of 6)	NA	-2690	FAM63A								
UT7_3_187_R1_peak_26564	chr3	64955184	64955473	+	36	NA	intron (ADAMTS9-AS2, intron 4 of 5)	NA	-233945	LOC102724763								
UT7_3_187_R1_peak_19585	chr19	52725055	52725281	+	36	NA	intron (ZNF611, intron 3 of 6)	NA	9886	ZNF611								
UT7_3_187_R1_peak_14203	chr16	67660387	67660676	+	36	NA	promoter-TSS (PARD6A)	NA	229	ACD								
UT7_3_187_R1_peak_9387	chr12	112350806	112350997	+	36	NA	intron (HECTD4, intron 1 of 75)	NA	31191	HECTD4								
UT7_3_187_R1_peak_25909	chr3	30664860	30665051	+	36	NA	intron (TGFBR2, intron 5 of 8)	NA	58453	TGFBR2								
UT7_3_187_R1_peak_32240	chr6	79514708	79514927	+	36	NA	intron (LCA5, intron 2 of 7)	NA	22321	LCA5								
UT7_3_187_R1_peak_5143	chr10	79288097	79288533	+	36	NA	intron (ZMIZ1, intron 8 of 23)	NA	-59151	PPIF								
UT7_3_187_R1_peak_37459	chr9	127528809	127529049	+	36	NA	intron (FAM129B, intron 2 of 13)	NA	40188	FAM129B								
UT7_3_187_R1_peak_35773	chr8	123181942	123182171	+	36	NA	promoter-TSS (FAM83A)	NA	3009	FAM83A								
UT7_3_187_R1_peak_28341	chr4	80125447	80125659	+	36	NA	Intergenic	NA	-52230	ANTXR2								
UT7_3_187_R1_peak_12245	chr15	63463394	63463681	+	36	NA	Intergenic	NA	32220	LOC102723355								
UT7_3_187_R1_peak_23343	chr20	44610257	44610478	+	36	NA	intron (PKIG, intron 4 of 5)	NA	41294	ADA								
UT7_3_187_R1_peak_15421	chr17	35064939	35065143	+	36	NA	intron (RFFL, intron 1 of 6)	NA	24288	RFFL								
UT7_3_187_R1_peak_23692	chr20	62356856	62357150	+	36	NA	TTS (LOC101928158)	NA	3993	LOC101928158								
UT7_3_187_R1_peak_22653	chr20	4073166	4073357	+	36	NA	Intergenic	NA	-46681	LOC101929155								
UT7_3_187_R1_peak_36094	chr8	141403547	141403826	+	36	NA	intron (PTP4A3, intron 1 of 5)	NA	-11096	LOC401480								
UT7_3_187_R1_peak_36095	chr8	141404354	141404596	+	36	NA	intron (PTP4A3, intron 1 of 5)	NA	-11885	LOC401480								
UT7_3_187_R1_peak_2804	chr1	157148093	157148447	+	36	NA	Intergenic	NA	-9885	ETV3								
UT7_3_187_R1_peak_37846	chr9	136528976	136529186	+	36	NA	intron (NOTCH1, intron 2 of 33)	NA	-9455	MIR4673								
UT7_3_187_R1_peak_31276	chr6	27792881	27793122	+	36	NA	Intergenic	NA	-1574	TRNAQ17								
UT7_3_187_R1_peak_32021	chr6	43966148	43966339	+	36	NA	Intergenic	NA	-34357	C6orf223								
UT7_3_187_R1_peak_13336	chr16	3158199	3158623	+	36	NA	promoter-TSS (TRNAP19)	NA	-511	TRNAP19								
UT7_3_187_R1_peak_24540	chr22	23086489	23086680	+	36	NA	intron (GNAZ, intron 1 of 2)	NA	16101	GNAZ								
UT7_3_187_R1_peak_15431	chr17	35541558	35541768	+	36	NA	Intergenic	NA	16428	SLFN14								
UT7_3_187_R1_peak_6757	chr11	65888844	65889183	+	36	NA	promoter-TSS (FIBP)	NA	-474	FIBP								
UT7_3_187_R1_peak_12843	chr15	85693645	85693981	+	36	NA	intron (AKAP13, intron 19 of 38)	NA	62817	RP11-158M2.5								
UT7_3_187_R1_peak_4225	chr1	247335428	247335778	+	36	NA	Intergenic	NA	-25430	ZNF496								
UT7_3_187_R1_peak_2958	chr1	161738969	161739160	+	36	NA	Intergenic	NA	-10704	DUSP12								
UT7_3_187_R1_peak_35512	chr8	90170035	90170294	+	36	NA	Intergenic	NA	-51324	LINC00534								
UT7_3_187_R1_peak_36892	chr9	77980138	77980329	+	36	NA	intron (GNAQ, intron 1 of 6)	NA	51216	GNAQ								
UT7_3_187_R1_peak_6381	chr11	57657223	57657414	+	36	NA	promoter-TSS (CLP1)	NA	-426	CLP1								
UT7_3_187_R1_peak_27530	chr3	190547289	190547526	+	36	NA	intron (IL1RAP, intron 1 of 7)	NA	33356	IL1RAP								
UT7_3_187_R1_peak_673	chr1	25537044	25537301	+	36	NA	Intergenic	NA	-6408	LDLRAP1								
UT7_3_187_R1_peak_11210	chr14	81397647	81397937	+	36	NA	intron (STON2, intron 1 of 5)	NA	52365	RP11-299L17.3								
UT7_3_187_R1_peak_18464	chr19	21082487	21082678	+	36	NA	intron (ZNF714, intron 1 of 4)	NA	435	ZNF714								
UT7_3_187_R1_peak_25588	chr3	4976842	4977033	+	36	NA	Intergenic	NA	-2475	BHLHE40								
UT7_3_187_R1_peak_22229	chr2	219286954	219287232	+	36	NA	TTS (DNAJB2)	NA	7054	MIR153-1								
UT7_3_187_R1_peak_1915	chr1	89535069	89535260	+	36	NA	intron (LRRC8B, intron 2 of 6)	NA	10790	LRRC8B								
UT7_3_187_R1_peak_30646	chr6	297837	298052	+	36	NA	intron (DUSP22, intron 1 of 3)	NA	5887	DUSP22								
UT7_3_187_R1_peak_21824	chr2	191842079	191842320	+	36	NA	intron (SDPR, intron 1 of 1)	NA	5081	SDPR								
UT7_3_187_R1_peak_30393	chr5	173616892	173617105	+	36	NA	promoter-TSS (BOD1)	NA	-335	BOD1								
UT7_3_187_R1_peak_12103	chr15	55404127	55404354	+	36	NA	intron (DYX1C1-CCPG1, intron 8 of 15)	NA	4270	CCPG1								
UT7_3_187_R1_peak_5614	chr10	122140591	122141148	+	36	NA	intron (TACC2, intron 6 of 19)	NA	23502	LOC102724724								
UT7_3_187_R1_peak_33053	chr6	154683919	154684262	+	36	NA	Intergenic	NA	-49288	SCAF8								
UT7_3_187_R1_peak_32278	chr6	85676079	85676270	+	36	NA	TTS (SNHG5)	NA	1194	SNORD50A								
UT7_3_187_R1_peak_2211	chr1	112319526	112319847	+	36	NA	Intergenic	NA	-76497	CTTNBP2NL								
UT7_3_187_R1_peak_975	chr1	32127887	32128096	+	36	NA	intron (KPNA6, intron 1 of 13)	NA	-14932	KPNA6								
UT7_3_187_R1_peak_25984	chr3	37861288	37861661	+	36	NA	promoter-TSS (CTDSPL)	NA	-704	CTDSPL								
UT7_3_187_R1_peak_31136	chr6	26052354	26052545	+	36	NA	Intergenic	NA	4022	HIST1H1C								
UT7_3_187_R1_peak_11109	chr14	73742188	73742451	+	36	NA	intron (ELMSAN1, intron 2 of 13)	NA	-16428	MIR4505								
UT7_3_187_R1_peak_6253	chr11	44571208	44571399	+	36	NA	intron (CD82, intron 1 of 9)	NA	6876	CD82								
UT7_3_187_R1_peak_36134	chr8	143529870	143530090	+	36	NA	intron (ZC3H3, intron 3 of 3)	NA	23514	ZC3H3								
UT7_3_187_R1_peak_30809	chr6	10429865	10430091	+	36	NA	exon (LINC00518, exon 3 of 3)	NA	4844	LINC00518								
UT7_3_187_R1_peak_3614	chr1	206924058	206924543	+	36	NA	Intergenic	NA	-2267	FAIM3								
UT7_3_187_R1_peak_1333	chr1	44263103	44263354	+	36	NA	intron (ERI3, intron 6 of 7)	NA	-18945	ERI3-IT1								
UT7_3_187_R1_peak_25473	chr22	49825490	49825996	+	36	NA	promoter-TSS (BRD1)	NA	1805	BRD1								
UT7_3_187_R1_peak_19649	chr19	54573096	54573287	+	36	NA	promoter-TSS (LILRA2)	NA	-461	LILRA2								
UT7_3_187_R1_peak_15626	chr17	41929403	41929633	+	36	NA	intron (ACLY, intron 1 of 28)	NA	1024	ACLY								
UT7_3_187_R1_peak_14616	chr16	88475692	88475957	+	36	NA	intron (ZFPM1, intron 1 of 9)	NA	6881	MIR5189								
UT7_3_187_R1_peak_4871	chr10	68600646	68600862	+	36	NA	intron (TET1, intron 2 of 11)	NA	40394	TET1								
UT7_3_187_R1_peak_5164	chr10	80455386	80455583	+	35	NA	intron (TSPAN14, intron 1 of 8)	NA	-4080	TSPAN14								
UT7_3_187_R1_peak_31726	chr6	35669137	35669438	+	35	NA	intron (FKBP5, intron 2 of 11)	NA	-4498	MIR5690								
UT7_3_187_R1_peak_12421	chr15	67745388	67745584	+	35	NA	intron (MAP2K5, intron 17 of 21)	NA	-74218	SKOR1								
UT7_3_187_R1_peak_29397	chr5	66619182	66619405	+	35	NA	intron (MAST4, intron 1 of 29)	NA	-107689	RP11-5P22.3								
UT7_3_187_R1_peak_17998	chr19	12610034	12610716	+	35	NA	promoter-TSS (ZNF791)	NA	434	ZNF490								
UT7_3_187_R1_peak_32410	chr6	109009118	109009535	+	35	NA	promoter-TSS (SESN1)	NA	-338	SESN1								
UT7_3_187_R1_peak_1518	chr1	53324966	53325212	+	35	NA	intron (LRP8, intron 2 of 17)	NA	2965	LRP8								
UT7_3_187_R1_peak_5320	chr10	97687644	97688130	+	35	NA	promoter-TSS (AVPI1)	NA	-629	AVPI1								
UT7_3_187_R1_peak_24265	chr21	42465725	42466098	+	35	NA	Intergenic	NA	30396	RSPH1								
UT7_3_187_R1_peak_3474	chr1	202165437	202165637	+	35	NA	Intergenic	NA	-2514	PTPRVP								
UT7_3_187_R1_peak_34638	chr7	151087657	151087856	+	35	NA	intron (AGAP3, intron 1 of 17)	NA	1044	AGAP3								
UT7_3_187_R1_peak_35128	chr8	38384625	38384855	+	35	NA	intron (LETM2, intron 1 of 10)	NA	2177	LETM2								
UT7_3_187_R1_peak_15313	chr17	28646603	28646894	+	35	NA	Intergenic	NA	-1589	KIAA0100								
UT7_3_187_R1_peak_5249	chr10	92822666	92823123	+	35	NA	Intergenic	NA	-8247	EXOC6								
UT7_3_187_R1_peak_28792	chr4	146407065	146407472	+	35	NA	intron (SLC10A7, intron 5 of 11)	NA	-1378	MIR7849								
UT7_3_187_R1_peak_29130	chr5	21426595	21426789	+	35	NA	Intergenic	NA	-32788	GUSBP1								
UT7_3_187_R1_peak_19237	chr19	47094428	47094677	+	35	NA	exon (ZC3H4, exon 2 of 14)	NA	19200	ZC3H4								
UT7_3_187_R1_peak_26476	chr3	53170758	53171174	+	35	NA	intron (PRKCD, intron 1 of 17)	NA	9749	PRKCD								
UT7_3_187_R1_peak_1455	chr1	51422352	51422607	+	35	NA	promoter-TSS (EPS15)	NA	92817	LOC102724097								
UT7_3_187_R1_peak_4392	chr10	11880375	11881018	+	35	NA	intron (PROSER2-AS1, intron 2 of 5)	NA	14014	PROSER2-AS1								
UT7_3_187_R1_peak_4560	chr10	24721558	24722013	+	35	NA	intron (ARHGAP21, intron 2 of 25)	NA	972	ARHGAP21								
UT7_3_187_R1_peak_36045	chr8	136963384	136963597	+	35	NA	Intergenic	NA	-232819	LOC101927892								
UT7_3_187_R1_peak_23520	chr20	50479326	50479601	+	35	NA	Intergenic	NA	-30858	PTPN1								
UT7_3_187_R1_peak_25562	chr3	4474691	4474882	+	35	NA	Intergenic	NA	-7517	SUMF1								
UT7_3_187_R1_peak_13132	chr15	101127621	101128136	+	35	NA	Intergenic	NA	60245	CHSY1								
UT7_3_187_R1_peak_3878	chr1	229342080	229342313	+	35	NA	exon (CCSAP, exon 2 of 4)	NA	745	CCSAP								
UT7_3_187_R1_peak_11225	chr14	81432118	81432309	+	35	NA	Intergenic	NA	17944	RP11-299L17.3								
UT7_3_187_R1_peak_6450	chr11	60126189	60126481	+	35	NA	Intergenic	NA	37671	MS4A2								
UT7_3_187_R1_peak_24817	chr22	31345502	31345838	+	35	NA	exon (PATZ1, exon 1 of 5)	NA	593	PATZ1								
UT7_3_187_R1_peak_15799	chr17	45227589	45227804	+	35	NA	intron (FMNL1, intron 1 of 25)	NA	5790	FMNL1								
UT7_3_187_R1_peak_16771	chr17	82766895	82767123	+	35	NA	intron (TBCD, intron 4 of 38)	NA	31433	FN3K								
UT7_3_187_R1_peak_22106	chr2	216084590	216084812	+	35	NA	intron (TMEM169, intron 2 of 3)	NA	2835	TMEM169								
UT7_3_187_R1_peak_15099	chr17	15261454	15261656	+	35	NA	promoter-TSS (PMP22)	NA	1034	PMP22								
UT7_3_187_R1_peak_4779	chr10	48494140	48494517	+	35	NA	promoter-TSS (ARHGAP22)	NA	-15093	LOC101930357								
UT7_3_187_R1_peak_15362	chr17	29949012	29949214	+	35	NA	intron (EFCAB5, intron 3 of 22)	NA	7508	EFCAB5								
UT7_3_187_R1_peak_16232	chr17	64062909	64063143	+	35	NA	intron (ERN1, intron 10 of 21)	NA	-56103	ICAM2								
UT7_3_187_R1_peak_28984	chr4	190111447	190111723	+	35	NA	Intergenic	NA	20677	DUX4L2								
