PeakID (cmd=annotatePeaks.pl LMO2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_4752	chr12	48852153	48852341	+	0	NA	promoter-TSS (DDX23)	NA	-73	DDX23								
Interval_11410	chr19	47048299	47048565	+	0	NA	promoter-TSS (TMEM160)	NA	-573	TMEM160								
Interval_7504	chr16	4663570	4664539	+	0	NA	intron (MGRN1, intron 5 of 16)	NA	-7264	MIR6769A								
Interval_12257	chr2	62196811	62197687	+	0	NA	intron (B3GNT2, intron 1 of 1)	NA	1122	B3GNT2								
Interval_6760	chr15	50058545	50058802	+	0	NA	intron (ATP8B4, intron 3 of 27)	NA	51844	ATP8B4								
Interval_4982	chr12	64758856	64759343	+	0	NA	exon (GNS, exon 1 of 14)	NA	347	GNS								
Interval_19319	chr6	159039115	159039723	+	0	NA	intron (TAGAP, intron 7 of 7)	NA	5733	TAGAP								
Interval_8937	chr17	40287986	40288414	+	0	NA	intron (CDC6, intron 1 of 11)	NA	306	CDC6								
Interval_2131	chr1	234962319	234964124	+	0	NA	Intergenic	NA	106597	LOC731656								
Interval_19441	chr7	812945	813186	+	0	NA	Intergenic	NA	-2492	SUN1								
Interval_18117	chr5	179818832	179819226	+	0	NA	intron (SQSTM1, intron 2 of 8)	NA	-12077	MGAT4B								
Interval_8643	chr17	16027783	16027962	+	0	NA	exon (TTC19, exon 10 of 10)	NA	-28180	ZSWIM7								
Interval_4060	chr11	74461340	74461690	+	0	NA	intron (KCNE3, intron 2 of 2)	NA	6040	KCNE3								
Interval_6465	chr14	102777554	102778596	+	0	NA	intron (TRAF3, intron 1 of 7)	NA	596	TRAF3								
Interval_1439	chr1	156124672	156124971	+	0	NA	intron (LMNA, intron 1 of 10)	NA	-1296	LMNA								
Interval_11692	chr19	55476599	55476869	+	0	NA	exon (ZNF628, exon 1 of 3)	NA	402	ZNF628								
Interval_11933	chr2	26494090	26494475	+	0	NA	intron (OTOF, intron 10 of 46)	NA	64416	OTOF								
Interval_11257	chr19	42396440	42396881	+	0	NA	promoter-TSS (LIPE-AS1)	NA	-488	LIPE-AS1								
Interval_9292	chr17	63773150	63773492	+	0	NA	promoter-TSS (CCDC47)	NA	-463	CCDC47								
Interval_7706	chr16	27242919	27243137	+	0	NA	intron (NSMCE1, intron 2 of 7)	NA	15118	NSMCE1								
Interval_12423	chr2	74554919	74555098	+	0	NA	intron (DOK1, intron 1 of 4)	NA	623	DOK1								
Interval_4002	chr11	72081006	72081207	+	0	NA	promoter-TSS (NUMA1)	NA	-632	NUMA1								
Interval_3842	chr11	65640176	65641288	+	0	NA	promoter-TSS (SIPA1)	NA	-115	SIPA1								
Interval_6342	chr14	90629954	90630439	+	0	NA	intron (TTC7B, intron 15 of 19)	NA	-12433	RP11-1078H9.5								
Interval_16395	chr4	2261529	2262062	+	0	NA	exon (MXD4, exon 2 of 7)	NA	348	MXD4								
Interval_17657	chr5	132491036	132491582	+	0	NA	promoter-TSS (IRF1)	NA	-536	IRF1								
Interval_2793	chr10	86522008	86522396	+	0	NA	promoter-TSS (WAPAL)	NA	-3429	WAPAL								
Interval_20822	chr8	47260482	47260736	+	0	NA	promoter-TSS (SPIDR)	NA	-298	SPIDR								
Interval_8890	chr17	38674443	38674662	+	0	NA	exon (C17orf96, exon 1 of 1)	NA	382	C17orf96								
Interval_4117	chr11	78359971	78360314	+	0	NA	intron (GAB2, intron 1 of 9)	NA	57637	GAB2								
Interval_934	chr1	77978276	77980299	+	0	NA	promoter-TSS (FUBP1)	NA	-132	FUBP1								
Interval_15276	chr3	37135925	37136192	+	0	NA	intron (LRRFIP2, intron 4 of 28)	NA	40443	LRRFIP2								
Interval_7624	chr16	19067556	19068356	+	0	NA	promoter-TSS (LOC102723385)	NA	39	COQ7								
Interval_4969	chr12	61138383	61138687	+	0	NA	Intergenic	NA	1054304	FAM19A2								
Interval_14937	chr22	46587683	46587876	+	0	NA	intron (GRAMD4, intron 1 of 17)	NA	10552	GRAMD4								
Interval_9386	chr17	73092345	73092526	+	0	NA	promoter-TSS (SLC39A11)	NA	279	SLC39A11								
Interval_21347	chr8	133165924	133166076	+	0	NA	Intergenic	NA	-25039	WISP1								
Interval_14368	chr21	39316921	39317585	+	0	NA	intron (BRWD1-AS1, intron 2 of 2)	NA	1546	BRWD1-AS1								
Interval_11592	chr19	51751809	51752020	+	0	NA	promoter-TSS (FPR1)	NA	-17	FPR1								
Interval_13463	chr20	1393097	1393305	+	0	NA	promoter-TSS (MIR6869)	NA	-29	FKBP1A								
Interval_10961	chr19	29611111	29611299	+	0	NA	intron (POP4, intron 3 of 6)	NA	4942	POP4								
Interval_19772	chr7	44490290	44491193	+	0	NA	promoter-TSS (NUDCD3)	NA	45	NUDCD3								
Interval_20210	chr7	107743744	107744586	+	0	NA	promoter-TSS (LOC101927974)	NA	-114	LOC101927974								
Interval_18441	chr6	26576934	26577185	+	0	NA	promoter-TSS (TRNAY7)	NA	-45	TRNAY7								
Interval_2678	chr10	72626289	72626512	+	0	NA	promoter-TSS (MICU1)	NA	-209	MICU1								
Interval_8090	chr16	69339182	69339560	+	0	NA	promoter-TSS (NIP7)	NA	-141	NIP7								
Interval_1286	chr1	150875917	150876655	+	0	NA	intron (ARNT, intron 1 of 22)	NA	424	ARNT								
Interval_8312	chr16	89217252	89217631	+	0	NA	promoter-TSS (ZNF778)	NA	-262	ZNF778								
Interval_11737	chr19	57682034	57682375	+	0	NA	exon (ZNF551, exon 1 of 2)	NA	235	ZNF551								
Interval_15965	chr3	138348393	138348736	+	0	NA	promoter-TSS (MRAS)	NA	-102	MRAS								
Interval_17433	chr5	74579265	74579416	+	0	NA	Intergenic	NA	62084	ENC1								
Interval_5356	chr12	120496254	120496700	+	0	NA	promoter-TSS (DYNLL1-AS1)	NA	-531	DYNLL1-AS1								
Interval_16468	chr4	11480828	11481046	+	0	NA	Intergenic	NA	-52024	HS3ST1								
Interval_5329	chr12	119376225	119376486	+	0	NA	intron (CCDC60, intron 1 of 13)	NA	41426	CCDC60								
Interval_17128	chr5	611833	612225	+	0	NA	promoter-TSS (CEP72)	NA	181	RP11-310P5.1								
Interval_19928	chr7	74174342	74175146	+	0	NA	intron (EIF4H, intron 1 of 5)	NA	368	EIF4H								
Interval_5443	chr12	123633346	123633530	+	0	NA	promoter-TSS (GTF2H3)	NA	-301	GTF2H3								
Interval_3435	chr11	17351757	17352190	+	0	NA	exon (NCR3LG1, exon 1 of 6)	NA	211	NCR3LG1								
Interval_22955	chrX	154547688	154548097	+	0	NA	promoter-TSS (G6PD)	NA	-879	G6PD								
Interval_6617	chr15	37100334	37100547	+	0	NA	promoter-TSS (MEIS2)	NA	859	MEIS2								
Interval_8912	chr17	39334472	39335078	+	0	NA	intron (FBXL20, intron 2 of 14)	NA	67502	FBXL20								
Interval_2623	chr10	70170007	70171203	+	0	NA	promoter-TSS (SAR1A)	NA	-76	SAR1A								
Interval_18461	chr6	27519167	27519346	+	0	NA	promoter-TSS (TRNAQ16)	NA	-273	TRNAQ16								
Interval_15060	chr3	5186379	5187329	+	0	NA	promoter-TSS (EDEM1)	NA	-853	EDEM1								
Interval_17330	chr5	50665523	50665734	+	0	NA	promoter-TSS (PARP8)	NA	-1310	PARP8								
Interval_6871	chr15	59687919	59688320	+	0	NA	intron (BNIP2, intron 1 of 9)	NA	1324	BNIP2								
Interval_18807	chr6	43059063	43059400	+	0	NA	promoter-TSS (KLC4)	NA	-626	KLC4								
Interval_22784	chrX	103686223	103686655	+	0	NA	promoter-TSS (MORF4L2-AS1)	NA	379	MORF4L2								
Interval_59	chr1	2391221	2391448	+	0	NA	promoter-TSS (RER1)	NA	417	MORN1								
Interval_338	chr1	24745429	24746450	+	0	NA	intron (CLIC4, intron 1 of 5)	NA	670	CLIC4								
Interval_1427	chr1	155989677	155990263	+	0	NA	Intergenic	NA	-10341	ARHGEF2								
Interval_17947	chr5	160118905	160119376	+	0	NA	promoter-TSS (PWWP2A)	NA	304	PWWP2A								
Interval_17349	chr5	55856823	55857559	+	0	NA	intron (IL31RA, intron 1 of 14)	NA	5685	IL31RA								
Interval_5521	chr12	132986570	132986773	+	0	NA	exon (ZNF26, exon 1 of 4)	NA	290	ZNF26								
Interval_9086	chr17	47650809	47651175	+	0	NA	promoter-TSS (LOC101929046)	NA	-204	KPNB1								
Interval_4306	chr11	119101495	119102445	+	0	NA	exon (DPAGT1, exon 1 of 9)	NA	105	DPAGT1								
Interval_20121	chr7	100585771	100586116	+	0	NA	promoter-TSS (FBXO24)	NA	240	LRCH4								
Interval_10870	chr19	18388229	18388480	+	0	NA	exon (GDF15, exon 2 of 2)	NA	1792	MIR3189								
Interval_13611	chr20	11890811	11891387	+	0	NA	intron (BTBD3, intron 1 of 3)	NA	266	BTBD3								
Interval_11527	chr19	50024969	50025442	+	0	NA	promoter-TSS (VRK3)	NA	-54	VRK3								
Interval_1751	chr1	199123659	199123974	+	0	NA	Intergenic	NA	-24782	FLJ43585								
Interval_4916	chr12	56687173	56687352	+	0	NA	promoter-TSS (PTGES3)	NA	1146	PTGES3								
Interval_522	chr1	32222375	32223009	+	0	NA	promoter-TSS (TMEM234)	NA	322	EIF3I								
Interval_5968	chr14	35045862	35046043	+	0	NA	promoter-TSS (FAM177A1)	NA	-641	FAM177A1								
Interval_10869	chr19	18373920	18375047	+	0	NA	Intergenic	NA	-11675	GDF15								
Interval_13801	chr20	35305550	35305814	+	0	NA	intron (UQCC1, intron 9 of 9)	NA	-13260	FAM83C								
Interval_18699	chr6	35688247	35688881	+	0	NA	intron (FKBP5, intron 2 of 11)	NA	378	FKBP5								
Interval_11018	chr19	34404541	34404780	+	0	NA	exon (PDCD2L, exon 2 of 7)	NA	262	PDCD2L								
Interval_17117	chr5	402692	402878	+	0	NA	intron (AHRR, intron 4 of 11)	NA	40358	C5orf55								
Interval_17768	chr5	139669907	139670086	+	0	NA	intron (CXXC5, intron 1 of 2)	NA	21280	CXXC5								
Interval_12629	chr2	111121122	111121747	+	0	NA	intron (BCL2L11, intron 1 of 5)	NA	520	BCL2L11								
Interval_17318	chr5	50655233	50655684	+	0	NA	Intergenic	NA	-11480	PARP8								
Interval_9813	chr18	12883264	12884236	+	0	NA	intron (PTPN2, intron 1 of 11)	NA	585	PTPN2								
Interval_14837	chr22	41444110	41444349	+	0	NA	exon (TOB2, exon 1 of 2)	NA	2794	TOB2								
Interval_11340	chr19	45178909	45179528	+	0	NA	promoter-TSS (TRAPPC6A)	NA	473	BLOC1S3								
Interval_6258	chr14	77033460	77034071	+	0	NA	Intergenic	NA	-5066	IRF2BPL								
Interval_1141	chr1	114113668	114113847	+	0	NA	intron (SYT6, intron 3 of 7)	NA	38683	SYT6								
Interval_133	chr1	9067053	9067455	+	0	NA	intron (SLC2A5, intron 2 of 12)	NA	2574	SLC2A5								
Interval_12638	chr2	111698982	111699395	+	0	NA	Intergenic	NA	71902	MIR4771-2								
Interval_10978	chr19	31316929	31317135	+	0	NA	intron (TSHZ3, intron 1 of 1)	NA	32252	TSHZ3								
Interval_7375	chr16	1352004	1352290	+	0	NA	promoter-TSS (TSR3)	NA	248	GNPTG								
Interval_14505	chr22	19431091	19432388	+	0	NA	promoter-TSS (MRPL40)	NA	-43	HIRA								
Interval_22574	chrX	37755182	37755397	+	0	NA	Intergenic	NA	-24728	CYBB								
Interval_19622	chr7	25615169	25615350	+	0	NA	Intergenic	NA	47927	LOC646588								
Interval_4699	chr12	39621404	39621596	+	0	NA	Intergenic	NA	-1459	ABCD2								
Interval_4896	chr12	56220878	56221894	+	0	NA	promoter-TSS (NABP2)	NA	315	RNF41								
Interval_15511	chr3	49940119	49940797	+	0	NA	intron (RBM6, intron 1 of 20)	NA	414	RBM6								
Interval_5806	chr13	112583355	112583618	+	0	NA	intron (TUBGCP3, intron 1 of 20)	NA	4694	TUBGCP3								
Interval_3364	chr11	9759693	9759961	+	0	NA	promoter-TSS (RP11-540A21.2)	NA	-294	RP11-540A21.2								
Interval_14413	chr21	43789386	43789552	+	0	NA	promoter-TSS (RRP1)	NA	-68	RRP1								
Interval_4910	chr12	56360608	56360916	+	0	NA	promoter-TSS (STAT2)	NA	-491	STAT2								
Interval_12905	chr2	161972955	161973208	+	0	NA	intron (SLC4A10, intron 23 of 26)	NA	101461	DPP4								
Interval_6433	chr14	100285468	100285833	+	0	NA	intron (SLC25A29, intron 5 of 5)	NA	8293	MIR6764								
Interval_9502	chr17	76725850	76726532	+	0	NA	promoter-TSS (METTL23)	NA	608	JMJD6								
Interval_191	chr1	12133104	12133341	+	0	NA	intron (TNFRSF8, intron 11 of 13)	NA	-33721	MIR7846								
Interval_2462	chr10	33334058	33334571	+	0	NA	exon (NRP1, exon 1 of 16)	NA	591	NRP1								
Interval_12029	chr2	36697421	36697703	+	0	NA	intron (VIT, intron 1 of 15)	NA	872	VIT								
Interval_3592	chr11	47408633	47409075	+	0	NA	promoter-TSS (SLC39A13)	NA	-732	SLC39A13								
Interval_17186	chr5	17359602	17359803	+	0	NA	Intergenic	NA	27608	LOC401177								
Interval_4519	chr12	8082334	8082688	+	0	NA	intron (NECAP1, intron 1 of 7)	NA	300	NECAP1								
Interval_2270	chr10	3783334	3783937	+	0	NA	intron (KLF6, intron 1 of 2)	NA	1646	KLF6								
Interval_16595	chr4	49710684	49710883	+	0	NA	Intergenic	NA	-221459	LOC101060532								
Interval_17247	chr5	40385249	40385496	+	0	NA	Intergenic	NA	-295579	PTGER4								
Interval_20108	chr7	100369207	100369727	+	0	NA	intron (PILRA, intron 1 of 7)	NA	1875	PILRA								
Interval_5384	chr12	121580227	121580472	+	0	NA	promoter-TSS (LOC101928346)	NA	-899	LOC101928346								
Interval_6506	chr14	105075538	105075745	+	0	NA	Intergenic	NA	-10091	GPR132								
Interval_17543	chr5	96935392	96935852	+	0	NA	promoter-TSS (LNPEP)	NA	-20	LNPEP								
Interval_7098	chr15	75625844	75626327	+	0	NA	promoter-TSS (SNUPN)	NA	293	SNUPN								
Interval_1715	chr1	186819624	186819803	+	0	NA	Intergenic	NA	-9240	PLA2G4A								
Interval_15567	chr3	52120839	52122791	+	0	NA	intron (POC1A, intron 9 of 10)	NA	32875	POC1A								
Interval_7365	chr16	689994	690400	+	0	NA	exon (WDR24, exon 1 of 9)	NA	203	WDR24								
Interval_8997	chr17	43021236	43021535	+	0	NA	intron (VAT1, intron 1 of 5)	NA	1057	VAT1								
Interval_21811	chr9	91162590	91162796	+	0	NA	Intergenic	NA	-43665	LOC100507103								
Interval_464	chr1	28518300	28518881	+	0	NA	intron (RCC1, intron 1 of 9)	NA	357	RCC1								
Interval_15053	chr3	4986729	4987348	+	0	NA	Intergenic	NA	7626	BHLHE40								
Interval_1370	chr1	154406211	154406548	+	0	NA	intron (IL6R, intron 1 of 9)	NA	444	LOC101928101								
Interval_17009	chr4	168503675	168504102	+	0	NA	intron (PALLD, intron 1 of 21)	NA	6820	PALLD								
Interval_12348	chr2	69894002	69894260	+	0	NA	intron (SNRNP27, intron 1 of 5)	NA	188	SNRNP27								
Interval_11623	chr19	54102405	54102643	+	0	NA	promoter-TSS (NDUFA3)	NA	162	OSCAR								
Interval_5569	chr13	26221585	26221769	+	0	NA	promoter-TSS (RNF6)	NA	214	RNF6								
Interval_518	chr1	32179667	32180787	+	0	NA	exon (TXLNA, exon 1 of 11)	NA	532	TXLNA								
Interval_2942	chr10	101031731	101031922	+	0	NA	promoter-TSS (PDZD7)	NA	587	SFXN3								
Interval_11591	chr19	51736104	51736379	+	0	NA	Intergenic	NA	-12273	HAS1								
Interval_19057	chr6	109772938	109773180	+	0	NA	intron (FIG4, intron 13 of 20)	NA	81838	FIG4								
Interval_16534	chr4	37826775	37827088	+	0	NA	intron (PGM2, intron 1 of 13)	NA	-12598	PGM2								
Interval_12553	chr2	99181436	99181669	+	0	NA	promoter-TSS (MITD1)	NA	473	MRPL30								
Interval_15215	chr3	23916933	23917847	+	0	NA	promoter-TSS (RPL15)	NA	263	RPL15								
Interval_19437	chr7	617856	618336	+	0	NA	intron (PRKAR1B, intron 4 of 9)	NA	14698	AC147651.4								
Interval_15765	chr3	108588968	108589965	+	0	NA	promoter-TSS (DZIP3)	NA	-482	DZIP3								
Interval_18665	chr6	33788244	33789216	+	0	NA	exon (LEMD2, exon 1 of 9)	NA	-1788	LEMD2								
Interval_19538	chr7	6350661	6350888	+	0	NA	Intergenic	NA	-1815	FAM220A								
Interval_11574	chr19	51340411	51340590	+	0	NA	exon (VSIG10L, exon 3 of 10)	NA	1624	VSIG10L								
Interval_10966	chr19	29686749	29687689	+	0	NA	Intergenic	NA	21782	PLEKHF1								
Interval_14042	chr20	53594321	53595360	+	0	NA	promoter-TSS (ZNF217)	NA	-11743	ZNF217								
Interval_10710	chr19	14372901	14373129	+	0	NA	Intergenic	NA	-8129	CD97								
Interval_17582	chr5	112976737	112977333	+	0	NA	intron (DCP2, intron 1 of 8)	NA	325	DCP2								
Interval_676	chr1	42767295	42767775	+	0	NA	promoter-TSS (LEPRE1)	NA	290	C1orf50								
Interval_7121	chr15	76995246	76995462	+	0	NA	promoter-TSS (PSTPIP1)	NA	230	PSTPIP1								
Interval_12461	chr2	85706001	85706264	+	0	NA	Intergenic	NA	11841	GNLY								
Interval_2474	chr10	37975728	37975959	+	0	NA	intron (ZNF25, intron 1 of 6)	NA	813	ZNF25								
Interval_19826	chr7	48088147	48089239	+	0	NA	promoter-TSS (UPP1)	NA	-561	UPP1								
Interval_5600	chr13	28658497	28659806	+	0	NA	exon (POMP, exon 1 of 6)	NA	147	POMP								
Interval_18993	chr6	96521848	96522329	+	0	NA	intron (UFL1, intron 1 of 18)	NA	262	UFL1								
Interval_1289	chr1	150973728	150974919	+	0	NA	exon (CERS2, exon 1 of 11)	NA	112	CERS2								
Interval_16492	chr4	17614243	17614588	+	0	NA	promoter-TSS (MED28)	NA	-235	MED28								
Interval_19743	chr7	41778524	41780694	+	0	NA	TTS (INHBA-AS1)	NA	-76501	INHBA								
Interval_6674	chr15	41333296	41333475	+	0	NA	promoter-TSS (OIP5)	NA	545	NUSAP1								
Interval_13263	chr2	225041690	225042634	+	0	NA	intron (DOCK10, intron 1 of 57)	NA	-31622	MIR4439								
Interval_16822	chr4	110032622	110032867	+	0	NA	Intergenic	NA	40419	RNU6-35P								
Interval_22466	chrX	1765038	1765181	+	0	NA	Intergenic	NA	149976	ASMT								
Interval_20229	chr7	113118153	113118464	+	0	NA	intron (LINC00998, intron 1 of 2)	NA	274	LINC00998								
Interval_13482	chr20	1850348	1850739	+	0	NA	Intergenic	NA	43903	LOC102724545								
Interval_10657	chr19	12956758	12957605	+	0	NA	promoter-TSS (GADD45GIP1)	NA	73	GADD45GIP1								
Interval_10382	chr19	4669330	4670404	+	0	NA	intron (C19orf10, intron 1 of 5)	NA	536	C19orf10								
Interval_18179	chr6	4021317	4022281	+	0	NA	intron (PRPF4B, intron 1 of 14)	NA	470	PRPF4B								
Interval_17822	chr5	142725315	142726112	+	0	NA	intron (LOC101926975, intron 2 of 5)	NA	9508	LOC101926975								
Interval_20836	chr8	48007904	48009182	+	0	NA	intron (UBE2V2, intron 1 of 3)	NA	-26323	UBE2V2								
Interval_10946	chr19	24087247	24087427	+	0	NA	exon (ZNF254, exon 1 of 5)	NA	177	ZNF254								
Interval_14411	chr21	43776125	43776655	+	0	NA	promoter-TSS (CSTB)	NA	-15	CSTB								
Interval_21999	chr9	112717701	112718136	+	0	NA	intron (INIP, intron 1 of 4)	NA	189	INIP								
Interval_18570	chr6	31494126	31494313	+	0	NA	promoter-TSS (MICB)	NA	-3831	MICB								
Interval_10902	chr19	19171791	19172057	+	0	NA	intron (MEF2BNB-MEF2B, intron 5 of 11)	NA	-1635	MEF2B								
Interval_17972	chr5	168579979	168580189	+	0	NA	promoter-TSS (PANK3)	NA	-475	PANK3								
Interval_4163	chr11	88337799	88338206	+	0	NA	promoter-TSS (CTSC)	NA	-229	CTSC								
Interval_175	chr1	11664214	11664976	+	0	NA	promoter-TSS (FBXO6)	NA	-78	FBXO6								
Interval_10176	chr19	947614	948081	+	0	NA	intron (ARID3A, intron 3 of 8)	NA	21701	ARID3A								
Interval_20362	chr7	143288470	143288916	+	0	NA	promoter-TSS (CASP2)	NA	-895	CASP2								
Interval_18231	chr6	7255385	7255564	+	0	NA	Intergenic	NA	57834	SSR1								
Interval_3571	chr11	46670473	46670857	+	0	NA	intron (ATG13, intron 19 of 19)	NA	30000	ARHGAP1								
Interval_6603	chr15	34334336	34334542	+	0	NA	intron (SLC12A6, intron 2 of 25)	NA	8722	NOP10								
Interval_12116	chr2	43223360	43223862	+	0	NA	exon (ZFP36L2, exon 2 of 2)	NA	2995	ZFP36L2								
Interval_21509	chr8	144786859	144787397	+	0	NA	intron (ZNF34, intron 1 of 4)	NA	217	ZNF34								
Interval_5456	chr12	124655843	124656165	+	0	NA	Intergenic	NA	-48443	LOC101927436								
Interval_843	chr1	58782656	58782950	+	0	NA	exon (JUN, exon 1 of 1)	NA	1310	JUN								
Interval_1444	chr1	156129847	156130293	+	0	NA	intron (LMNA, intron 2 of 10)	NA	3953	LMNA								
Interval_9588	chr17	80147133	80147893	+	0	NA	promoter-TSS (EIF4A3)	NA	-330	EIF4A3								
Interval_335	chr1	24642426	24642872	+	0	NA	promoter-TSS (SRRM1)	NA	-544	SRRM1								
Interval_21024	chr8	89982709	89983099	+	0	NA	intron (NBN, intron 1 of 15)	NA	1794	NBN								
Interval_2067	chr1	230714007	230714398	+	0	NA	exon (AGT, exon 1 of 5)	NA	388	AGT								
Interval_11968	chr2	27629117	27629333	+	0	NA	promoter-TSS (CCDC121)	NA	229	GPN1								
Interval_9865	chr18	32091531	32092430	+	0	NA	promoter-TSS (RNF138)	NA	-626	RNF138								
Interval_1099	chr1	111202891	111205420	+	0	NA	intron (DENND2D, intron 1 of 11)	NA	-1710	DENND2D								
Interval_11846	chr2	10812012	10812774	+	0	NA	intron (PDIA6, intron 1 of 13)	NA	20092	PDIA6								
Interval_2103	chr1	234599225	234600133	+	0	NA	Intergenic	NA	9846	IRF2BP2								
Interval_16641	chr4	70688274	70688472	+	0	NA	promoter-TSS (UTP3)	NA	-106	UTP3								
Interval_20793	chr8	41491091	41491378	+	0	NA	intron (GOLGA7, intron 2 of 5)	NA	672	GOLGA7								
Interval_19558	chr7	7181936	7182404	+	0	NA	promoter-TSS (C1GALT1)	NA	-33049	C1GALT1								
Interval_22546	chrX	24024724	24025301	+	0	NA	promoter-TSS (KLHL15)	NA	-377	KLHL15								
Interval_15731	chr3	98593187	98593404	+	0	NA	exon (CPOX, exon 1 of 7)	NA	329	CPOX								
Interval_385	chr1	26500026	26500297	+	0	NA	Intergenic	NA	27750	HMGN2								
Interval_9878	chr18	35289833	35290069	+	0	NA	promoter-TSS (ZNF271)	NA	297	ZSCAN30								
Interval_2929	chr10	100370280	100370763	+	0	NA	Intergenic	NA	-3055	LINC00263								
Interval_14726	chr22	37198875	37199314	+	0	NA	Intergenic	NA	-8166	C1QTNF6								
Interval_1245	chr1	149843405	149843943	+	0	NA	promoter-TSS (HIST2H2AA3)	NA	-923	HIST2H2AA3								
Interval_13028	chr2	191222614	191222908	+	0	NA	Intergenic	NA	-40518	MYO1B								
Interval_17107	chr5	372056	375218	+	0	NA	intron (AHRR, intron 3 of 11)	NA	69461	AHRR								
Interval_1416	chr1	155856826	155857216	+	0	NA	promoter-TSS (GON4L)	NA	2355	GON4L								
Interval_11882	chr2	20350142	20350858	+	0	NA	intron (PUM2, intron 1 of 20)	NA	-23114	PUM2								
Interval_17923	chr5	154755326	154756958	+	0	NA	promoter-TSS (LARP1)	NA	70366	MIR1303								
Interval_20873	chr8	55919553	55919886	+	0	NA	intron (LYN, intron 1 of 12)	NA	39892	LYN								
Interval_13054	chr2	197293332	197293578	+	0	NA	intron (ANKRD44-IT1, intron 5 of 5)	NA	9064	ANKRD44-IT1								
Interval_13702	chr20	25247693	25247921	+	0	NA	promoter-TSS (PYGB)	NA	-263	PYGB								
Interval_21777	chr9	78296423	78296736	+	0	NA	promoter-TSS (PSAT1)	NA	-496	PSAT1								
Interval_14994	chr22	50527230	50527676	+	0	NA	intron (TYMP, intron 5 of 9)	NA	-1308	SCO2								
Interval_6954	chr15	67065258	67065542	+	0	NA	promoter-TSS (SMAD3)	NA	-457	SMAD3								
Interval_21615	chr9	26946612	26947691	+	0	NA	promoter-TSS (IFT74)	NA	-161	IFT74								
Interval_16077	chr3	158801571	158801938	+	0	NA	promoter-TSS (MFSD1)	NA	-252	MFSD1								
Interval_4843	chr12	53441810	53442481	+	0	NA	intron (PRR13, intron 1 of 3)	NA	496	PRR13								
Interval_1868	chr1	209828088	209828495	+	0	NA	intron (DIEXF, intron 1 of 9)	NA	324	DIEXF								
Interval_21337	chr8	132895521	132896007	+	0	NA	intron (TG, intron 11 of 47)	NA	28847	TG								
Interval_21301	chr8	129554244	129554610	+	0	NA	Intergenic	NA	-70285	MIR3686								
Interval_10298	chr19	2723323	2723784	+	0	NA	Intergenic	NA	-2161	DIRAS1								
Interval_22256	chr9	130448476	130448781	+	0	NA	intron (ASS1, intron 1 of 14)	NA	3523	ASS1								
Interval_22051	chr9	117704910	117705091	+	0	NA	intron (TLR4, intron 1 of 1)	NA	825	TLR4								
Interval_13687	chr20	23350801	23351236	+	0	NA	exon (NXT1, exon 1 of 2)	NA	282	NXT1								
Interval_5368	chr12	121144026	121145691	+	0	NA	intron (P2RX7, intron 1 of 10)	NA	12030	P2RX7								
Interval_22089	chr9	122264287	122265615	+	0	NA	promoter-TSS (MRRF)	NA	39	MRRF								
Interval_10795	chr19	17184255	17184759	+	0	NA	intron (MYO9B, intron 16 of 39)	NA	-30839	USE1								
Interval_12395	chr2	73779760	73780055	+	0	NA	exon (DUSP11, exon 1 of 9)	NA	244	DUSP11								
Interval_11627	chr19	54115791	54116198	+	0	NA	promoter-TSS (TFPT)	NA	193	PRPF31								
Interval_8570	chr17	8151971	8152207	+	0	NA	intron (PER1, intron 1 of 22)	NA	4316	PER1								
Interval_15973	chr3	139343989	139344452	+	0	NA	intron (MRPS22, intron 1 of 7)	NA	201	MRPS22								
Interval_9794	chr18	9828012	9828266	+	0	NA	intron (RAB31, intron 5 of 6)	NA	-57587	TXNDC2								
Interval_14729	chr22	37267192	37267396	+	0	NA	Intergenic	NA	-15160	CYTH4								
Interval_3194	chr10	133236214	133236555	+	0	NA	Intergenic	NA	-1520	VENTX								
Interval_12244	chr2	61536910	61538339	+	0	NA	exon (XPO1, exon 1 of 25)	NA	636	XPO1								
Interval_12460	chr2	85705169	85705600	+	0	NA	Intergenic	NA	11093	GNLY								
Interval_6288	chr14	81169848	81170051	+	0	NA	Intergenic	NA	-3700	LOC101928431								
Interval_13509	chr20	3159389	3160196	+	0	NA	promoter-TSS (FASTKD5)	NA	94	FASTKD5								
Interval_8258	chr16	87464357	87465591	+	0	NA	intron (ZCCHC14, intron 1 of 11)	NA	27289	ZCCHC14								
Interval_21288	chr8	129423241	129423456	+	0	NA	Intergenic	NA	60794	MIR3686								
Interval_19329	chr6	159119622	159121704	+	0	NA	Intergenic	NA	13190	LOC101929094								
Interval_21636	chr9	32572822	32573064	+	0	NA	exon (NDUFB6, exon 1 of 3)	NA	241	NDUFB6								
Interval_17863	chr5	149550048	149550267	+	0	NA	exon (CSNK1A1, exon 2 of 10)	NA	1395	CSNK1A1								
Interval_19448	chr7	974669	975622	+	0	NA	intron (COX19, intron 1 of 2)	NA	454	COX19								
